,n,edges added,P_i,P_r,Surviors,Everyone_Dead
0,100,5,0.4,0.5,4,False
1,100,5,0.4,0.5,8,False
2,100,5,0.4,0.5,6,False
3,100,5,0.4,0.5,8,False
4,100,5,0.4,0.5,4,False
5,100,5,0.4,0.5,7,False
6,100,5,0.4,0.5,12,False
7,100,5,0.4,0.5,10,False
8,100,5,0.4,0.5,9,False
9,100,5,0.4,0.5,11,False
10,100,5,0.4,0.5,7,False
11,100,5,0.4,0.5,9,False
12,100,5,0.4,0.5,9,False
13,100,5,0.4,0.5,3,False
14,100,5,0.4,0.5,8,False
15,100,5,0.4,0.5,8,False
16,100,5,0.4,0.5,4,False
17,100,5,0.4,0.5,7,False
18,100,5,0.4,0.5,9,False
19,100,5,0.4,0.5,11,False
20,100,5,0.4,0.5,8,False
21,100,5,0.4,0.5,8,False
22,100,5,0.4,0.5,11,False
23,100,5,0.4,0.5,8,False
24,100,5,0.4,0.5,6,False
25,100,5,0.4,0.5,3,False
26,100,5,0.4,0.5,4,False
27,100,5,0.4,0.5,7,False
28,100,5,0.4,0.5,11,False
29,100,5,0.4,0.5,6,False
30,100,5,0.4,0.5,7,False
31,100,5,0.4,0.5,9,False
32,100,5,0.4,0.5,8,False
33,100,5,0.4,0.5,7,False
34,100,5,0.4,0.5,7,False
35,100,5,0.4,0.5,14,False
36,100,5,0.4,0.5,4,False
37,100,5,0.4,0.5,7,False
38,100,5,0.4,0.5,5,False
39,100,5,0.4,0.5,8,False
40,100,5,0.4,0.5,5,False
41,100,5,0.4,0.5,10,False
42,100,5,0.4,0.5,8,False
43,100,5,0.4,0.5,12,False
44,100,5,0.4,0.5,10,False
45,100,5,0.4,0.5,5,False
46,100,5,0.4,0.5,7,False
47,100,5,0.4,0.5,13,False
48,100,5,0.4,0.5,11,False
