,n,e,P_i,P_r,Days_Taken,survivors,Everyone_Dead,Infection_Type,Graph_Type,intital_number_of_infected,intital_number_of_immune,Successful_infections
3200,2500,12475,0.5,0.6,16,1461,False,ConstantRate,barabasi,1,0,2500
3201,2500,12476,0.5,0.6,16,1513,False,ConstantRate,barabasi,1,0,2500
3202,2500,12469,0.5,0.6,15,1501,False,ConstantRate,barabasi,1,0,2500
3203,2500,12477,0.5,0.6,16,1471,False,ConstantRate,barabasi,1,0,2500
3204,2500,12475,0.5,0.6,16,1511,False,ConstantRate,barabasi,1,0,2500
3205,2500,12477,0.5,0.6,15,1527,False,ConstantRate,barabasi,1,0,2500
3206,2500,12477,0.5,0.6,16,1491,False,ConstantRate,barabasi,1,0,2500
3207,2500,12475,0.5,0.6,16,1494,False,ConstantRate,barabasi,1,0,2500
3208,2500,12475,0.5,0.6,15,1480,False,ConstantRate,barabasi,1,0,2500
3209,2500,12474,0.5,0.6,15,1478,False,ConstantRate,barabasi,1,0,2500
3210,2500,12470,0.5,0.6,15,1475,False,ConstantRate,barabasi,1,0,2500
3211,2500,12474,0.5,0.6,16,1549,False,ConstantRate,barabasi,1,0,2500
3212,2500,12476,0.5,0.6,16,1513,False,ConstantRate,barabasi,1,0,2500
3213,2500,12471,0.5,0.6,17,1519,False,ConstantRate,barabasi,1,0,2500
3214,2500,12470,0.5,0.6,15,1486,False,ConstantRate,barabasi,1,0,2500
3215,2500,12475,0.5,0.6,17,1528,False,ConstantRate,barabasi,1,0,2500
3216,2500,12467,0.5,0.6,17,1515,False,ConstantRate,barabasi,1,0,2500
3217,2500,12474,0.5,0.6,16,1482,False,ConstantRate,barabasi,1,0,2500
3218,2500,12474,0.5,0.6,15,1535,False,ConstantRate,barabasi,1,0,2500
3219,2500,12475,0.5,0.6,16,1485,False,ConstantRate,barabasi,1,0,2500
3220,2500,12472,0.5,0.6,15,1526,False,ConstantRate,barabasi,1,0,2500
3221,2500,12475,0.5,0.6,15,1512,False,ConstantRate,barabasi,1,0,2500
3222,2500,12466,0.5,0.6,16,1515,False,ConstantRate,barabasi,1,0,2500
3223,2500,12481,0.5,0.6,16,1506,False,ConstantRate,barabasi,1,0,2500
3224,2500,12470,0.5,0.6,15,1515,False,ConstantRate,barabasi,1,0,2500
3225,2500,12472,0.5,0.6,16,1502,False,ConstantRate,barabasi,1,0,2500
3226,2500,12470,0.5,0.6,15,1502,False,ConstantRate,barabasi,1,0,2499
3227,2500,12475,0.5,0.6,17,1505,False,ConstantRate,barabasi,1,0,2500
3228,2500,12474,0.5,0.6,15,1478,False,ConstantRate,barabasi,1,0,2500
3229,2500,12475,0.5,0.6,16,1445,False,ConstantRate,barabasi,1,0,2500
3230,2500,12471,0.5,0.6,16,1521,False,ConstantRate,barabasi,1,0,2500
3231,2500,12476,0.5,0.6,16,1464,False,ConstantRate,barabasi,1,0,2500
3232,2500,12470,0.5,0.6,16,1566,False,ConstantRate,barabasi,1,0,2500
3233,2500,12477,0.5,0.6,16,1517,False,ConstantRate,barabasi,1,0,2500
3234,2500,12476,0.5,0.6,18,1508,False,ConstantRate,barabasi,1,0,2500
3235,2500,12468,0.5,0.6,17,1513,False,ConstantRate,barabasi,1,0,2500
3236,2500,12472,0.5,0.6,16,1521,False,ConstantRate,barabasi,1,0,2500
3237,2500,12479,0.5,0.6,17,1475,False,ConstantRate,barabasi,1,0,2500
3238,2500,12474,0.5,0.6,15,1499,False,ConstantRate,barabasi,1,0,2500
3239,2500,12477,0.5,0.6,16,1516,False,ConstantRate,barabasi,1,0,2500
3240,2500,12478,0.5,0.6,15,1510,False,ConstantRate,barabasi,1,0,2500
3241,2500,12467,0.5,0.6,15,1499,False,ConstantRate,barabasi,1,0,2499
3242,2500,12473,0.5,0.6,15,1521,False,ConstantRate,barabasi,1,0,2500
3243,2500,12475,0.5,0.6,15,1510,False,ConstantRate,barabasi,1,0,2500
3244,2500,12471,0.5,0.6,16,1483,False,ConstantRate,barabasi,1,0,2500
3245,2500,12477,0.5,0.6,16,1508,False,ConstantRate,barabasi,1,0,2500
3246,2500,12470,0.5,0.6,17,1518,False,ConstantRate,barabasi,1,0,2500
3247,2500,12469,0.5,0.6,17,1492,False,ConstantRate,barabasi,1,0,2500
3248,2500,12474,0.5,0.6,15,1465,False,ConstantRate,barabasi,1,0,2500
3249,2500,12471,0.5,0.6,15,1500,False,ConstantRate,barabasi,1,0,2499
3250,2500,12473,0.5,0.6,16,1494,False,ConstantRate,barabasi,1,0,2500
3251,2500,12471,0.5,0.6,17,1506,False,ConstantRate,barabasi,1,0,2500
3252,2500,12470,0.5,0.6,16,1506,False,ConstantRate,barabasi,1,0,2500
3253,2500,12479,0.5,0.6,15,1527,False,ConstantRate,barabasi,1,0,2500
3254,2500,12477,0.5,0.6,15,1546,False,ConstantRate,barabasi,1,0,2500
