,n,e,P_i,P_r,Days_Taken,survivors,Everyone_Dead,Infection_Type,Graph_Type,intital_number_of_infected,intital_number_of_immune,Successful_infections
0,30,125,0.5,0.6,13,14,False,ConstantRate,barabasi,1,0,30
1,30,126,0.5,0.6,13,20,False,ConstantRate,barabasi,1,0,30
2,30,119,0.5,0.6,13,20,False,ConstantRate,barabasi,1,0,30
3,30,127,0.5,0.6,13,15,False,ConstantRate,barabasi,1,0,30
4,30,125,0.5,0.6,13,18,False,ConstantRate,barabasi,1,0,30
5,30,127,0.5,0.6,13,19,False,ConstantRate,barabasi,1,0,30
6,30,127,0.5,0.6,12,19,False,ConstantRate,barabasi,1,0,30
7,30,125,0.5,0.6,12,15,False,ConstantRate,barabasi,1,0,30
8,30,125,0.5,0.6,13,20,False,ConstantRate,barabasi,1,0,30
9,30,124,0.5,0.6,13,22,False,ConstantRate,barabasi,1,0,30
10,30,120,0.5,0.6,14,19,False,ConstantRate,barabasi,1,0,30
11,30,124,0.5,0.6,12,20,False,ConstantRate,barabasi,1,0,30
12,30,126,0.5,0.6,13,20,False,ConstantRate,barabasi,1,0,30
13,30,121,0.5,0.6,13,17,False,ConstantRate,barabasi,1,0,30
14,30,120,0.5,0.6,13,20,False,ConstantRate,barabasi,1,0,30
15,30,125,0.5,0.6,13,22,False,ConstantRate,barabasi,1,0,30
16,30,117,0.5,0.6,14,20,False,ConstantRate,barabasi,1,0,30
17,30,124,0.5,0.6,13,17,False,ConstantRate,barabasi,1,0,30
18,30,124,0.5,0.6,13,17,False,ConstantRate,barabasi,1,0,30
19,30,125,0.5,0.6,12,14,False,ConstantRate,barabasi,1,0,30
20,30,122,0.5,0.6,12,19,False,ConstantRate,barabasi,1,0,30
21,30,125,0.5,0.6,12,22,False,ConstantRate,barabasi,1,0,30
22,30,116,0.5,0.6,14,22,False,ConstantRate,barabasi,1,0,30
23,30,131,0.5,0.6,13,18,False,ConstantRate,barabasi,1,0,30
24,30,120,0.5,0.6,12,17,False,ConstantRate,barabasi,1,0,30
25,30,122,0.5,0.6,14,21,False,ConstantRate,barabasi,1,0,30
26,30,120,0.5,0.6,13,16,False,ConstantRate,barabasi,1,0,29
27,30,125,0.5,0.6,13,19,False,ConstantRate,barabasi,1,0,30
28,30,124,0.5,0.6,12,24,False,ConstantRate,barabasi,1,0,30
29,30,125,0.5,0.6,12,16,False,ConstantRate,barabasi,1,0,30
30,30,121,0.5,0.6,12,16,False,ConstantRate,barabasi,1,0,30
31,30,126,0.5,0.6,13,22,False,ConstantRate,barabasi,1,0,30
32,30,120,0.5,0.6,13,20,False,ConstantRate,barabasi,1,0,30
33,30,127,0.5,0.6,13,16,False,ConstantRate,barabasi,1,0,30
34,30,126,0.5,0.6,13,19,False,ConstantRate,barabasi,1,0,30
35,30,118,0.5,0.6,13,16,False,ConstantRate,barabasi,1,0,30
36,30,122,0.5,0.6,13,17,False,ConstantRate,barabasi,1,0,30
37,30,129,0.5,0.6,13,22,False,ConstantRate,barabasi,1,0,30
38,30,124,0.5,0.6,13,23,False,ConstantRate,barabasi,1,0,30
39,30,127,0.5,0.6,13,18,False,ConstantRate,barabasi,1,0,30
40,30,128,0.5,0.6,13,20,False,ConstantRate,barabasi,1,0,30
41,30,117,0.5,0.6,13,20,False,ConstantRate,barabasi,1,0,29
42,30,123,0.5,0.6,12,22,False,ConstantRate,barabasi,1,0,30
43,30,125,0.5,0.6,12,17,False,ConstantRate,barabasi,1,0,30
44,30,121,0.5,0.6,13,12,False,ConstantRate,barabasi,1,0,30
45,30,127,0.5,0.6,13,16,False,ConstantRate,barabasi,1,0,30
46,30,120,0.5,0.6,14,16,False,ConstantRate,barabasi,1,0,30
47,30,119,0.5,0.6,14,16,False,ConstantRate,barabasi,1,0,30
48,30,124,0.5,0.6,13,23,False,ConstantRate,barabasi,1,0,30
49,30,121,0.5,0.6,12,17,False,ConstantRate,barabasi,1,0,29
50,30,123,0.5,0.6,13,17,False,ConstantRate,barabasi,1,0,30
51,30,121,0.5,0.6,13,16,False,ConstantRate,barabasi,1,0,30
52,30,120,0.5,0.6,14,18,False,ConstantRate,barabasi,1,0,30
53,30,129,0.5,0.6,13,17,False,ConstantRate,barabasi,1,0,30
54,30,127,0.5,0.6,12,16,False,ConstantRate,barabasi,1,0,30
55,30,119,0.5,0.6,14,18,False,ConstantRate,barabasi,1,0,30
56,30,117,0.5,0.6,13,18,False,ConstantRate,barabasi,1,0,29
57,30,122,0.5,0.6,13,19,False,ConstantRate,barabasi,1,0,30
58,30,128,0.5,0.6,13,20,False,ConstantRate,barabasi,1,0,30
59,30,127,0.5,0.6,12,16,False,ConstantRate,barabasi,1,0,30
60,30,118,0.5,0.6,13,18,False,ConstantRate,barabasi,1,0,30
61,30,126,0.5,0.6,13,17,False,ConstantRate,barabasi,1,0,30
62,30,127,0.5,0.6,13,21,False,ConstantRate,barabasi,1,0,30
63,30,121,0.5,0.6,14,19,False,ConstantRate,barabasi,1,0,30
64,30,119,0.5,0.6,12,16,False,ConstantRate,barabasi,1,0,30
65,30,123,0.5,0.6,13,20,False,ConstantRate,barabasi,1,0,30
66,30,119,0.5,0.6,13,21,False,ConstantRate,barabasi,1,0,30
67,30,122,0.5,0.6,14,20,False,ConstantRate,barabasi,1,0,30
68,30,122,0.5,0.6,13,24,False,ConstantRate,barabasi,1,0,30
69,30,124,0.5,0.6,12,19,False,ConstantRate,barabasi,1,0,30
70,30,121,0.5,0.6,12,18,False,ConstantRate,barabasi,1,0,30
71,30,119,0.5,0.6,12,23,False,ConstantRate,barabasi,1,0,30
72,30,120,0.5,0.6,13,20,False,ConstantRate,barabasi,1,0,30
73,30,126,0.5,0.6,13,23,False,ConstantRate,barabasi,1,0,30
74,30,124,0.5,0.6,14,16,False,ConstantRate,barabasi,1,0,30
75,30,120,0.5,0.6,13,22,False,ConstantRate,barabasi,1,0,30
76,30,124,0.5,0.6,13,19,False,ConstantRate,barabasi,1,0,30
77,30,123,0.5,0.6,13,22,False,ConstantRate,barabasi,1,0,30
78,30,122,0.5,0.6,13,20,False,ConstantRate,barabasi,1,0,30
79,30,119,0.5,0.6,12,14,False,ConstantRate,barabasi,1,0,30
80,30,126,0.5,0.6,12,18,False,ConstantRate,barabasi,1,0,30
81,30,125,0.5,0.6,12,21,False,ConstantRate,barabasi,1,0,30
82,30,122,0.5,0.6,13,20,False,ConstantRate,barabasi,1,0,30
83,30,121,0.5,0.6,12,20,False,ConstantRate,barabasi,1,0,30
84,30,125,0.5,0.6,12,21,False,ConstantRate,barabasi,1,0,30
85,30,123,0.5,0.6,12,16,False,ConstantRate,barabasi,1,0,30
86,30,127,0.5,0.6,13,17,False,ConstantRate,barabasi,1,0,30
87,30,121,0.5,0.6,13,17,False,ConstantRate,barabasi,1,0,30
88,30,120,0.5,0.6,13,17,False,ConstantRate,barabasi,1,0,30
89,30,124,0.5,0.6,13,18,False,ConstantRate,barabasi,1,0,30
90,30,126,0.5,0.6,14,17,False,ConstantRate,barabasi,1,0,30
91,30,122,0.5,0.6,12,15,False,ConstantRate,barabasi,1,0,30
92,30,118,0.5,0.6,13,21,False,ConstantRate,barabasi,1,0,30
93,30,123,0.5,0.6,15,15,False,ConstantRate,barabasi,1,0,30
94,30,119,0.5,0.6,13,18,False,ConstantRate,barabasi,1,0,30
95,30,126,0.5,0.6,14,20,False,ConstantRate,barabasi,1,0,30
96,30,125,0.5,0.6,12,18,False,ConstantRate,barabasi,1,0,30
97,30,122,0.5,0.6,13,22,False,ConstantRate,barabasi,1,0,30
98,30,122,0.5,0.6,13,22,False,ConstantRate,barabasi,1,0,30
99,30,130,0.5,0.6,12,23,False,ConstantRate,barabasi,1,0,30
100,30,125,0.5,0.6,12,16,False,ConstantRate,barabasi,1,0,30
101,30,126,0.5,0.6,13,14,False,ConstantRate,barabasi,1,0,30
102,30,119,0.5,0.6,13,19,False,ConstantRate,barabasi,1,0,30
103,30,127,0.5,0.6,13,18,False,ConstantRate,barabasi,1,0,30
104,30,125,0.5,0.6,14,20,False,ConstantRate,barabasi,1,0,30
105,30,127,0.5,0.6,14,13,False,ConstantRate,barabasi,1,0,30
106,30,127,0.5,0.6,13,13,False,ConstantRate,barabasi,1,0,30
107,30,125,0.5,0.6,12,14,False,ConstantRate,barabasi,1,0,30
108,30,125,0.5,0.6,13,20,False,ConstantRate,barabasi,1,0,30
109,30,124,0.5,0.6,12,21,False,ConstantRate,barabasi,1,0,30
110,30,120,0.5,0.6,13,15,False,ConstantRate,barabasi,1,0,30
111,30,124,0.5,0.6,12,17,False,ConstantRate,barabasi,1,0,30
112,30,126,0.5,0.6,13,21,False,ConstantRate,barabasi,1,0,30
113,30,121,0.5,0.6,12,14,False,ConstantRate,barabasi,1,0,30
114,30,120,0.5,0.6,12,22,False,ConstantRate,barabasi,1,0,30
115,30,125,0.5,0.6,12,17,False,ConstantRate,barabasi,1,0,30
116,30,117,0.5,0.6,13,17,False,ConstantRate,barabasi,1,0,30
117,30,124,0.5,0.6,13,20,False,ConstantRate,barabasi,1,0,30
118,30,124,0.5,0.6,13,18,False,ConstantRate,barabasi,1,0,30
119,30,125,0.5,0.6,13,17,False,ConstantRate,barabasi,1,0,30
120,30,122,0.5,0.6,13,21,False,ConstantRate,barabasi,1,0,30
121,30,125,0.5,0.6,12,21,False,ConstantRate,barabasi,1,0,30
122,30,116,0.5,0.6,13,20,False,ConstantRate,barabasi,1,0,30
123,30,131,0.5,0.6,13,20,False,ConstantRate,barabasi,1,0,30
124,30,120,0.5,0.6,12,18,False,ConstantRate,barabasi,1,0,30
125,30,122,0.5,0.6,13,16,False,ConstantRate,barabasi,1,0,30
126,30,120,0.5,0.6,12,17,False,ConstantRate,barabasi,1,0,29
