,n,e,P_i,P_r,Days_Taken,survivors,Everyone_Dead,Infection_Type,Graph_Type,intital_number_of_infected,intital_number_of_immune,Successful_infections
1000,130,625,0.5,0.6,14,71,False,ConstantRate,barabasi,1,0,130
1001,130,626,0.5,0.6,14,85,False,ConstantRate,barabasi,1,0,130
1002,130,619,0.5,0.6,14,82,False,ConstantRate,barabasi,1,0,130
1003,130,627,0.5,0.6,13,90,False,ConstantRate,barabasi,1,0,130
1004,130,625,0.5,0.6,14,71,False,ConstantRate,barabasi,1,0,130
1005,130,627,0.5,0.6,15,75,False,ConstantRate,barabasi,1,0,130
1006,130,627,0.5,0.6,13,84,False,ConstantRate,barabasi,1,0,130
1007,130,625,0.5,0.6,14,81,False,ConstantRate,barabasi,1,0,130
1008,130,625,0.5,0.6,14,94,False,ConstantRate,barabasi,1,0,130
1009,130,624,0.5,0.6,14,81,False,ConstantRate,barabasi,1,0,130
1010,130,620,0.5,0.6,13,76,False,ConstantRate,barabasi,1,0,130
1011,130,624,0.5,0.6,14,80,False,ConstantRate,barabasi,1,0,130
1012,130,626,0.5,0.6,15,88,False,ConstantRate,barabasi,1,0,130
1013,130,621,0.5,0.6,13,76,False,ConstantRate,barabasi,1,0,130
1014,130,620,0.5,0.6,14,70,False,ConstantRate,barabasi,1,0,130
1015,130,625,0.5,0.6,14,78,False,ConstantRate,barabasi,1,0,130
1016,130,617,0.5,0.6,14,86,False,ConstantRate,barabasi,1,0,130
1017,130,624,0.5,0.6,14,74,False,ConstantRate,barabasi,1,0,130
1018,130,624,0.5,0.6,14,80,False,ConstantRate,barabasi,1,0,130
1019,130,625,0.5,0.6,13,75,False,ConstantRate,barabasi,1,0,130
1020,130,622,0.5,0.6,13,81,False,ConstantRate,barabasi,1,0,130
1021,130,625,0.5,0.6,13,83,False,ConstantRate,barabasi,1,0,130
1022,130,616,0.5,0.6,14,63,False,ConstantRate,barabasi,1,0,130
1023,130,631,0.5,0.6,14,91,False,ConstantRate,barabasi,1,0,130
1024,130,620,0.5,0.6,14,86,False,ConstantRate,barabasi,1,0,130
1025,130,622,0.5,0.6,13,77,False,ConstantRate,barabasi,1,0,130
1026,130,620,0.5,0.6,14,78,False,ConstantRate,barabasi,1,0,129
1027,130,625,0.5,0.6,13,92,False,ConstantRate,barabasi,1,0,130
1028,130,624,0.5,0.6,13,77,False,ConstantRate,barabasi,1,0,130
1029,130,625,0.5,0.6,13,76,False,ConstantRate,barabasi,1,0,130
1030,130,621,0.5,0.6,13,83,False,ConstantRate,barabasi,1,0,130
1031,130,626,0.5,0.6,14,76,False,ConstantRate,barabasi,1,0,130
1032,130,620,0.5,0.6,14,83,False,ConstantRate,barabasi,1,0,130
1033,130,627,0.5,0.6,14,84,False,ConstantRate,barabasi,1,0,130
1034,130,626,0.5,0.6,13,75,False,ConstantRate,barabasi,1,0,130
1035,130,618,0.5,0.6,14,73,False,ConstantRate,barabasi,1,0,130
1036,130,622,0.5,0.6,13,80,False,ConstantRate,barabasi,1,0,130
1037,130,629,0.5,0.6,13,76,False,ConstantRate,barabasi,1,0,130
1038,130,624,0.5,0.6,13,77,False,ConstantRate,barabasi,1,0,130
