,n,e,P_i,P_r,Days_Taken,survivors,Everyone_Dead,Infection_Type,Graph_Type,intital_number_of_infected,intital_number_of_immune,Successful_infections
200,50,225,0.5,0.6,13,34,False,ConstantRate,barabasi,1,0,50
201,50,226,0.5,0.6,12,31,False,ConstantRate,barabasi,1,0,50
202,50,219,0.5,0.6,13,29,False,ConstantRate,barabasi,1,0,50
203,50,227,0.5,0.6,13,31,False,ConstantRate,barabasi,1,0,50
204,50,225,0.5,0.6,13,32,False,ConstantRate,barabasi,1,0,50
205,50,227,0.5,0.6,13,39,False,ConstantRate,barabasi,1,0,50
206,50,227,0.5,0.6,13,29,False,ConstantRate,barabasi,1,0,50
207,50,225,0.5,0.6,13,26,False,ConstantRate,barabasi,1,0,50
208,50,225,0.5,0.6,14,22,False,ConstantRate,barabasi,1,0,50
209,50,224,0.5,0.6,13,30,False,ConstantRate,barabasi,1,0,50
210,50,220,0.5,0.6,13,27,False,ConstantRate,barabasi,1,0,50
211,50,224,0.5,0.6,12,24,False,ConstantRate,barabasi,1,0,50
212,50,226,0.5,0.6,14,27,False,ConstantRate,barabasi,1,0,50
213,50,221,0.5,0.6,13,32,False,ConstantRate,barabasi,1,0,50
214,50,220,0.5,0.6,13,29,False,ConstantRate,barabasi,1,0,50
215,50,225,0.5,0.6,12,25,False,ConstantRate,barabasi,1,0,50
216,50,217,0.5,0.6,13,28,False,ConstantRate,barabasi,1,0,50
217,50,224,0.5,0.6,13,28,False,ConstantRate,barabasi,1,0,50
218,50,224,0.5,0.6,13,32,False,ConstantRate,barabasi,1,0,50
219,50,225,0.5,0.6,13,33,False,ConstantRate,barabasi,1,0,50
220,50,222,0.5,0.6,13,30,False,ConstantRate,barabasi,1,0,50
221,50,225,0.5,0.6,13,35,False,ConstantRate,barabasi,1,0,50
222,50,216,0.5,0.6,13,31,False,ConstantRate,barabasi,1,0,50
223,50,231,0.5,0.6,13,24,False,ConstantRate,barabasi,1,0,50
224,50,220,0.5,0.6,13,36,False,ConstantRate,barabasi,1,0,50
225,50,222,0.5,0.6,13,33,False,ConstantRate,barabasi,1,0,50
226,50,220,0.5,0.6,13,25,False,ConstantRate,barabasi,1,0,49
227,50,225,0.5,0.6,13,28,False,ConstantRate,barabasi,1,0,50
228,50,224,0.5,0.6,12,28,False,ConstantRate,barabasi,1,0,50
229,50,225,0.5,0.6,13,36,False,ConstantRate,barabasi,1,0,50
230,50,221,0.5,0.6,13,33,False,ConstantRate,barabasi,1,0,50
231,50,226,0.5,0.6,14,27,False,ConstantRate,barabasi,1,0,50
232,50,220,0.5,0.6,13,36,False,ConstantRate,barabasi,1,0,50
