,n,e,P_i,P_r,Days_Taken,survivors,Everyone_Dead,Infection_Type,Graph_Type,intital_number_of_infected,intital_number_of_immune,Successful_infections
1400,170,825,0.5,0.6,14,95,False,ConstantRate,barabasi,1,0,170
1401,170,826,0.5,0.6,15,108,False,ConstantRate,barabasi,1,0,170
1402,170,819,0.5,0.6,14,92,False,ConstantRate,barabasi,1,0,170
1403,170,827,0.5,0.6,14,101,False,ConstantRate,barabasi,1,0,170
1404,170,825,0.5,0.6,13,93,False,ConstantRate,barabasi,1,0,170
1405,170,827,0.5,0.6,15,100,False,ConstantRate,barabasi,1,0,170
1406,170,827,0.5,0.6,14,103,False,ConstantRate,barabasi,1,0,170
1407,170,825,0.5,0.6,14,100,False,ConstantRate,barabasi,1,0,170
1408,170,825,0.5,0.6,14,112,False,ConstantRate,barabasi,1,0,170
1409,170,824,0.5,0.6,14,100,False,ConstantRate,barabasi,1,0,170
1410,170,820,0.5,0.6,13,101,False,ConstantRate,barabasi,1,0,170
1411,170,824,0.5,0.6,14,105,False,ConstantRate,barabasi,1,0,170
1412,170,826,0.5,0.6,14,115,False,ConstantRate,barabasi,1,0,170
1413,170,821,0.5,0.6,13,102,False,ConstantRate,barabasi,1,0,170
1414,170,820,0.5,0.6,14,99,False,ConstantRate,barabasi,1,0,170
1415,170,825,0.5,0.6,14,84,False,ConstantRate,barabasi,1,0,170
1416,170,817,0.5,0.6,14,94,False,ConstantRate,barabasi,1,0,170
1417,170,824,0.5,0.6,15,90,False,ConstantRate,barabasi,1,0,170
1418,170,824,0.5,0.6,15,106,False,ConstantRate,barabasi,1,0,170
1419,170,825,0.5,0.6,14,102,False,ConstantRate,barabasi,1,0,170
1420,170,822,0.5,0.6,14,109,False,ConstantRate,barabasi,1,0,170
1421,170,825,0.5,0.6,15,105,False,ConstantRate,barabasi,1,0,170
1422,170,816,0.5,0.6,14,92,False,ConstantRate,barabasi,1,0,170
1423,170,831,0.5,0.6,14,111,False,ConstantRate,barabasi,1,0,170
1424,170,820,0.5,0.6,14,113,False,ConstantRate,barabasi,1,0,170
1425,170,822,0.5,0.6,15,120,False,ConstantRate,barabasi,1,0,170
1426,170,820,0.5,0.6,14,104,False,ConstantRate,barabasi,1,0,169
1427,170,825,0.5,0.6,13,101,False,ConstantRate,barabasi,1,0,170
1428,170,824,0.5,0.6,14,111,False,ConstantRate,barabasi,1,0,170
1429,170,825,0.5,0.6,14,102,False,ConstantRate,barabasi,1,0,170
1430,170,821,0.5,0.6,14,105,False,ConstantRate,barabasi,1,0,170
1431,170,826,0.5,0.6,15,97,False,ConstantRate,barabasi,1,0,170
1432,170,820,0.5,0.6,14,103,False,ConstantRate,barabasi,1,0,170
