,n,e,P_i,P_r,Days_Taken,survivors,Everyone_Dead,Infection_Type,Graph_Type,intital_number_of_infected,intital_number_of_immune,Successful_infections
400,70,325,0.5,0.6,14,43,False,ConstantRate,barabasi,1,0,70
401,70,326,0.5,0.6,14,46,False,ConstantRate,barabasi,1,0,70
402,70,319,0.5,0.6,13,39,False,ConstantRate,barabasi,1,0,70
403,70,327,0.5,0.6,13,43,False,ConstantRate,barabasi,1,0,70
404,70,325,0.5,0.6,13,42,False,ConstantRate,barabasi,1,0,70
405,70,327,0.5,0.6,13,45,False,ConstantRate,barabasi,1,0,70
406,70,327,0.5,0.6,13,42,False,ConstantRate,barabasi,1,0,70
407,70,325,0.5,0.6,13,38,False,ConstantRate,barabasi,1,0,70
408,70,325,0.5,0.6,13,45,False,ConstantRate,barabasi,1,0,70
409,70,324,0.5,0.6,14,44,False,ConstantRate,barabasi,1,0,70
410,70,320,0.5,0.6,13,49,False,ConstantRate,barabasi,1,0,70
411,70,324,0.5,0.6,13,43,False,ConstantRate,barabasi,1,0,70
412,70,326,0.5,0.6,13,39,False,ConstantRate,barabasi,1,0,70
413,70,321,0.5,0.6,13,49,False,ConstantRate,barabasi,1,0,70
414,70,320,0.5,0.6,13,39,False,ConstantRate,barabasi,1,0,70
415,70,325,0.5,0.6,13,39,False,ConstantRate,barabasi,1,0,70
416,70,317,0.5,0.6,13,40,False,ConstantRate,barabasi,1,0,70
417,70,324,0.5,0.6,14,44,False,ConstantRate,barabasi,1,0,70
418,70,324,0.5,0.6,14,36,False,ConstantRate,barabasi,1,0,70
419,70,325,0.5,0.6,13,38,False,ConstantRate,barabasi,1,0,70
420,70,322,0.5,0.6,12,54,False,ConstantRate,barabasi,1,0,70
421,70,325,0.5,0.6,13,39,False,ConstantRate,barabasi,1,0,70
422,70,316,0.5,0.6,16,44,False,ConstantRate,barabasi,1,0,70
423,70,331,0.5,0.6,12,43,False,ConstantRate,barabasi,1,0,70
424,70,320,0.5,0.6,14,46,False,ConstantRate,barabasi,1,0,70
425,70,322,0.5,0.6,13,42,False,ConstantRate,barabasi,1,0,70
426,70,320,0.5,0.6,13,47,False,ConstantRate,barabasi,1,0,69
427,70,325,0.5,0.6,13,40,False,ConstantRate,barabasi,1,0,70
428,70,324,0.5,0.6,13,46,False,ConstantRate,barabasi,1,0,70
429,70,325,0.5,0.6,14,36,False,ConstantRate,barabasi,1,0,70
430,70,321,0.5,0.6,14,44,False,ConstantRate,barabasi,1,0,70
431,70,326,0.5,0.6,12,47,False,ConstantRate,barabasi,1,0,70
432,70,320,0.5,0.6,14,43,False,ConstantRate,barabasi,1,0,70
433,70,327,0.5,0.6,14,45,False,ConstantRate,barabasi,1,0,70
434,70,326,0.5,0.6,13,46,False,ConstantRate,barabasi,1,0,70
435,70,318,0.5,0.6,13,42,False,ConstantRate,barabasi,1,0,70
436,70,322,0.5,0.6,13,39,False,ConstantRate,barabasi,1,0,70
437,70,329,0.5,0.6,13,41,False,ConstantRate,barabasi,1,0,70
438,70,324,0.5,0.6,13,52,False,ConstantRate,barabasi,1,0,70
439,70,327,0.5,0.6,14,42,False,ConstantRate,barabasi,1,0,70
440,70,328,0.5,0.6,14,49,False,ConstantRate,barabasi,1,0,70
441,70,317,0.5,0.6,14,42,False,ConstantRate,barabasi,1,0,69
442,70,323,0.5,0.6,13,42,False,ConstantRate,barabasi,1,0,70
443,70,325,0.5,0.6,14,46,False,ConstantRate,barabasi,1,0,70
444,70,321,0.5,0.6,12,40,False,ConstantRate,barabasi,1,0,70
445,70,327,0.5,0.6,13,41,False,ConstantRate,barabasi,1,0,70
446,70,320,0.5,0.6,14,40,False,ConstantRate,barabasi,1,0,70
447,70,319,0.5,0.6,14,43,False,ConstantRate,barabasi,1,0,70
448,70,324,0.5,0.6,13,41,False,ConstantRate,barabasi,1,0,70
449,70,321,0.5,0.6,13,40,False,ConstantRate,barabasi,1,0,69
450,70,323,0.5,0.6,14,41,False,ConstantRate,barabasi,1,0,70
451,70,321,0.5,0.6,13,49,False,ConstantRate,barabasi,1,0,70
452,70,320,0.5,0.6,13,47,False,ConstantRate,barabasi,1,0,70
453,70,329,0.5,0.6,13,42,False,ConstantRate,barabasi,1,0,70
454,70,327,0.5,0.6,14,46,False,ConstantRate,barabasi,1,0,70
455,70,319,0.5,0.6,15,52,False,ConstantRate,barabasi,1,0,70
456,70,317,0.5,0.6,13,40,False,ConstantRate,barabasi,1,0,69
457,70,322,0.5,0.6,13,33,False,ConstantRate,barabasi,1,0,70
458,70,328,0.5,0.6,14,47,False,ConstantRate,barabasi,1,0,70
459,70,327,0.5,0.6,14,37,False,ConstantRate,barabasi,1,0,70
460,70,318,0.5,0.6,13,46,False,ConstantRate,barabasi,1,0,70
461,70,326,0.5,0.6,13,38,False,ConstantRate,barabasi,1,0,70
462,70,327,0.5,0.6,13,39,False,ConstantRate,barabasi,1,0,70
463,70,321,0.5,0.6,13,42,False,ConstantRate,barabasi,1,0,70
464,70,319,0.5,0.6,14,50,False,ConstantRate,barabasi,1,0,70
465,70,323,0.5,0.6,13,40,False,ConstantRate,barabasi,1,0,70
466,70,319,0.5,0.6,14,43,False,ConstantRate,barabasi,1,0,70
467,70,322,0.5,0.6,13,46,False,ConstantRate,barabasi,1,0,70
468,70,322,0.5,0.6,14,47,False,ConstantRate,barabasi,1,0,70
469,70,324,0.5,0.6,13,49,False,ConstantRate,barabasi,1,0,70
470,70,321,0.5,0.6,14,43,False,ConstantRate,barabasi,1,0,70
471,70,319,0.5,0.6,13,36,False,ConstantRate,barabasi,1,0,70
472,70,320,0.5,0.6,13,34,False,ConstantRate,barabasi,1,0,70
473,70,326,0.5,0.6,13,42,False,ConstantRate,barabasi,1,0,70
474,70,324,0.5,0.6,13,41,False,ConstantRate,barabasi,1,0,70
475,70,320,0.5,0.6,14,43,False,ConstantRate,barabasi,1,0,70
476,70,324,0.5,0.6,12,49,False,ConstantRate,barabasi,1,0,70
477,70,323,0.5,0.6,13,44,False,ConstantRate,barabasi,1,0,70
478,70,322,0.5,0.6,14,42,False,ConstantRate,barabasi,1,0,70
479,70,319,0.5,0.6,13,43,False,ConstantRate,barabasi,1,0,70
480,70,326,0.5,0.6,13,36,False,ConstantRate,barabasi,1,0,70
481,70,325,0.5,0.6,14,45,False,ConstantRate,barabasi,1,0,70
482,70,322,0.5,0.6,13,42,False,ConstantRate,barabasi,1,0,70
483,70,321,0.5,0.6,13,36,False,ConstantRate,barabasi,1,0,70
484,70,325,0.5,0.6,14,44,False,ConstantRate,barabasi,1,0,70
485,70,323,0.5,0.6,14,38,False,ConstantRate,barabasi,1,0,70
486,70,327,0.5,0.6,14,44,False,ConstantRate,barabasi,1,0,70
487,70,321,0.5,0.6,13,41,False,ConstantRate,barabasi,1,0,70
488,70,320,0.5,0.6,14,44,False,ConstantRate,barabasi,1,0,70
489,70,324,0.5,0.6,13,40,False,ConstantRate,barabasi,1,0,70
490,70,326,0.5,0.6,13,43,False,ConstantRate,barabasi,1,0,70
491,70,322,0.5,0.6,13,45,False,ConstantRate,barabasi,1,0,70
492,70,318,0.5,0.6,14,40,False,ConstantRate,barabasi,1,0,70
493,70,323,0.5,0.6,13,44,False,ConstantRate,barabasi,1,0,70
494,70,319,0.5,0.6,13,41,False,ConstantRate,barabasi,1,0,70
495,70,326,0.5,0.6,13,46,False,ConstantRate,barabasi,1,0,70
496,70,325,0.5,0.6,13,38,False,ConstantRate,barabasi,1,0,70
497,70,322,0.5,0.6,14,42,False,ConstantRate,barabasi,1,0,70
498,70,322,0.5,0.6,13,34,False,ConstantRate,barabasi,1,0,70
499,70,330,0.5,0.6,13,45,False,ConstantRate,barabasi,1,0,70
500,70,325,0.5,0.6,13,43,False,ConstantRate,barabasi,1,0,70
501,70,326,0.5,0.6,14,40,False,ConstantRate,barabasi,1,0,70
502,70,319,0.5,0.6,13,34,False,ConstantRate,barabasi,1,0,70
503,70,327,0.5,0.6,13,36,False,ConstantRate,barabasi,1,0,70
504,70,325,0.5,0.6,13,38,False,ConstantRate,barabasi,1,0,70
505,70,327,0.5,0.6,13,41,False,ConstantRate,barabasi,1,0,70
506,70,327,0.5,0.6,13,41,False,ConstantRate,barabasi,1,0,70
507,70,325,0.5,0.6,15,46,False,ConstantRate,barabasi,1,0,70
508,70,325,0.5,0.6,13,48,False,ConstantRate,barabasi,1,0,70
509,70,324,0.5,0.6,13,30,False,ConstantRate,barabasi,1,0,70
510,70,320,0.5,0.6,14,41,False,ConstantRate,barabasi,1,0,70
511,70,324,0.5,0.6,14,46,False,ConstantRate,barabasi,1,0,70
512,70,326,0.5,0.6,14,37,False,ConstantRate,barabasi,1,0,70
513,70,321,0.5,0.6,13,44,False,ConstantRate,barabasi,1,0,70
514,70,320,0.5,0.6,14,44,False,ConstantRate,barabasi,1,0,70
515,70,325,0.5,0.6,12,42,False,ConstantRate,barabasi,1,0,70
516,70,317,0.5,0.6,14,52,False,ConstantRate,barabasi,1,0,70
517,70,324,0.5,0.6,13,36,False,ConstantRate,barabasi,1,0,70
518,70,324,0.5,0.6,13,38,False,ConstantRate,barabasi,1,0,70
519,70,325,0.5,0.6,13,51,False,ConstantRate,barabasi,1,0,70
520,70,322,0.5,0.6,12,44,False,ConstantRate,barabasi,1,0,70
521,70,325,0.5,0.6,13,37,False,ConstantRate,barabasi,1,0,70
522,70,316,0.5,0.6,13,38,False,ConstantRate,barabasi,1,0,70
523,70,331,0.5,0.6,13,45,False,ConstantRate,barabasi,1,0,70
524,70,320,0.5,0.6,13,48,False,ConstantRate,barabasi,1,0,70
525,70,322,0.5,0.6,14,40,False,ConstantRate,barabasi,1,0,70
526,70,320,0.5,0.6,13,45,False,ConstantRate,barabasi,1,0,69
527,70,325,0.5,0.6,13,42,False,ConstantRate,barabasi,1,0,70
528,70,324,0.5,0.6,14,41,False,ConstantRate,barabasi,1,0,70
529,70,325,0.5,0.6,14,30,False,ConstantRate,barabasi,1,0,70
530,70,321,0.5,0.6,14,42,False,ConstantRate,barabasi,1,0,70
531,70,326,0.5,0.6,13,39,False,ConstantRate,barabasi,1,0,70
532,70,320,0.5,0.6,14,42,False,ConstantRate,barabasi,1,0,70
533,70,327,0.5,0.6,13,51,False,ConstantRate,barabasi,1,0,70
534,70,326,0.5,0.6,14,48,False,ConstantRate,barabasi,1,0,70
535,70,318,0.5,0.6,14,42,False,ConstantRate,barabasi,1,0,70
536,70,322,0.5,0.6,14,39,False,ConstantRate,barabasi,1,0,70
537,70,329,0.5,0.6,14,46,False,ConstantRate,barabasi,1,0,70
538,70,324,0.5,0.6,13,44,False,ConstantRate,barabasi,1,0,70
539,70,327,0.5,0.6,14,46,False,ConstantRate,barabasi,1,0,70
540,70,328,0.5,0.6,14,38,False,ConstantRate,barabasi,1,0,70
541,70,317,0.5,0.6,13,45,False,ConstantRate,barabasi,1,0,69
542,70,323,0.5,0.6,14,42,False,ConstantRate,barabasi,1,0,70
543,70,325,0.5,0.6,14,41,False,ConstantRate,barabasi,1,0,70
544,70,321,0.5,0.6,14,49,False,ConstantRate,barabasi,1,0,70
545,70,327,0.5,0.6,14,43,False,ConstantRate,barabasi,1,0,70
546,70,320,0.5,0.6,13,44,False,ConstantRate,barabasi,1,0,70
547,70,319,0.5,0.6,14,35,False,ConstantRate,barabasi,1,0,70
548,70,324,0.5,0.6,13,36,False,ConstantRate,barabasi,1,0,70
549,70,321,0.5,0.6,13,33,False,ConstantRate,barabasi,1,0,69
550,70,323,0.5,0.6,14,50,False,ConstantRate,barabasi,1,0,70
551,70,321,0.5,0.6,13,43,False,ConstantRate,barabasi,1,0,70
552,70,320,0.5,0.6,14,41,False,ConstantRate,barabasi,1,0,70
553,70,329,0.5,0.6,14,34,False,ConstantRate,barabasi,1,0,70
554,70,327,0.5,0.6,14,41,False,ConstantRate,barabasi,1,0,70
555,70,319,0.5,0.6,15,42,False,ConstantRate,barabasi,1,0,70
556,70,317,0.5,0.6,13,40,False,ConstantRate,barabasi,1,0,69
557,70,322,0.5,0.6,13,41,False,ConstantRate,barabasi,1,0,70
558,70,328,0.5,0.6,14,39,False,ConstantRate,barabasi,1,0,70
559,70,327,0.5,0.6,13,46,False,ConstantRate,barabasi,1,0,70
560,70,318,0.5,0.6,13,45,False,ConstantRate,barabasi,1,0,70
561,70,326,0.5,0.6,14,38,False,ConstantRate,barabasi,1,0,70
562,70,327,0.5,0.6,13,40,False,ConstantRate,barabasi,1,0,70
563,70,321,0.5,0.6,13,41,False,ConstantRate,barabasi,1,0,70
564,70,319,0.5,0.6,13,39,False,ConstantRate,barabasi,1,0,70
565,70,323,0.5,0.6,12,47,False,ConstantRate,barabasi,1,0,70
566,70,319,0.5,0.6,14,44,False,ConstantRate,barabasi,1,0,70
567,70,322,0.5,0.6,14,42,False,ConstantRate,barabasi,1,0,70
568,70,322,0.5,0.6,13,41,False,ConstantRate,barabasi,1,0,70
569,70,324,0.5,0.6,14,45,False,ConstantRate,barabasi,1,0,70
570,70,321,0.5,0.6,13,42,False,ConstantRate,barabasi,1,0,70
571,70,319,0.5,0.6,14,37,False,ConstantRate,barabasi,1,0,70
572,70,320,0.5,0.6,13,43,False,ConstantRate,barabasi,1,0,70
573,70,326,0.5,0.6,14,47,False,ConstantRate,barabasi,1,0,70
574,70,324,0.5,0.6,13,37,False,ConstantRate,barabasi,1,0,70
575,70,320,0.5,0.6,14,41,False,ConstantRate,barabasi,1,0,70
576,70,324,0.5,0.6,13,42,False,ConstantRate,barabasi,1,0,70
577,70,323,0.5,0.6,13,43,False,ConstantRate,barabasi,1,0,70
578,70,322,0.5,0.6,13,47,False,ConstantRate,barabasi,1,0,70
579,70,319,0.5,0.6,13,43,False,ConstantRate,barabasi,1,0,70
580,70,326,0.5,0.6,14,40,False,ConstantRate,barabasi,1,0,70
581,70,325,0.5,0.6,14,39,False,ConstantRate,barabasi,1,0,70
582,70,322,0.5,0.6,13,50,False,ConstantRate,barabasi,1,0,70
583,70,321,0.5,0.6,13,41,False,ConstantRate,barabasi,1,0,70
584,70,325,0.5,0.6,13,42,False,ConstantRate,barabasi,1,0,70
585,70,323,0.5,0.6,14,41,False,ConstantRate,barabasi,1,0,70
586,70,327,0.5,0.6,13,38,False,ConstantRate,barabasi,1,0,70
587,70,321,0.5,0.6,13,39,False,ConstantRate,barabasi,1,0,70
588,70,320,0.5,0.6,13,40,False,ConstantRate,barabasi,1,0,70
589,70,324,0.5,0.6,13,43,False,ConstantRate,barabasi,1,0,70
590,70,326,0.5,0.6,14,41,False,ConstantRate,barabasi,1,0,70
591,70,322,0.5,0.6,14,38,False,ConstantRate,barabasi,1,0,70
592,70,318,0.5,0.6,14,41,False,ConstantRate,barabasi,1,0,70
593,70,323,0.5,0.6,14,48,False,ConstantRate,barabasi,1,0,70
594,70,319,0.5,0.6,13,40,False,ConstantRate,barabasi,1,0,70
595,70,326,0.5,0.6,14,42,False,ConstantRate,barabasi,1,0,70
596,70,325,0.5,0.6,14,45,False,ConstantRate,barabasi,1,0,70
597,70,322,0.5,0.6,13,44,False,ConstantRate,barabasi,1,0,70
598,70,322,0.5,0.6,13,45,False,ConstantRate,barabasi,1,0,70
599,70,330,0.5,0.6,14,46,False,ConstantRate,barabasi,1,0,70
3800,70,325,0.5,0.6,13,42,False,ConstantRate,random,1,0,70
3801,70,326,0.5,0.6,14,35,False,ConstantRate,random,1,0,70
3802,70,319,0.5,0.6,14,39,False,ConstantRate,random,1,0,70
3803,70,327,0.5,0.6,13,49,False,ConstantRate,random,1,0,70
3804,70,325,0.5,0.6,15,46,False,ConstantRate,random,1,0,70
3805,70,327,0.5,0.6,13,46,False,ConstantRate,random,1,0,70
3806,70,327,0.5,0.6,14,44,False,ConstantRate,random,1,0,70
3807,70,325,0.5,0.6,13,39,False,ConstantRate,random,1,0,70
3808,70,325,0.5,0.6,13,47,False,ConstantRate,random,1,0,70
3809,70,324,0.5,0.6,14,38,False,ConstantRate,random,1,0,70
3810,70,320,0.5,0.6,14,46,False,ConstantRate,random,1,0,70
3811,70,324,0.5,0.6,13,40,False,ConstantRate,random,1,0,70
3812,70,326,0.5,0.6,13,52,False,ConstantRate,random,1,0,70
3813,70,321,0.5,0.6,13,52,False,ConstantRate,random,1,0,70
3814,70,320,0.5,0.6,14,41,False,ConstantRate,random,1,0,70
3815,70,325,0.5,0.6,13,38,False,ConstantRate,random,1,0,70
3816,70,317,0.5,0.6,13,42,False,ConstantRate,random,1,0,70
3817,70,324,0.5,0.6,14,48,False,ConstantRate,random,1,0,70
3818,70,324,0.5,0.6,13,40,False,ConstantRate,random,1,0,70
3819,70,325,0.5,0.6,13,38,False,ConstantRate,random,1,0,70
3820,70,322,0.5,0.6,14,43,False,ConstantRate,random,1,0,70
3821,70,325,0.5,0.6,13,45,False,ConstantRate,random,1,0,70
3822,70,316,0.5,0.6,21,48,False,ConstantRate,random,1,0,70
3823,70,331,0.5,0.6,14,34,False,ConstantRate,random,1,0,70
3824,70,320,0.5,0.6,13,47,False,ConstantRate,random,1,0,70
3825,70,322,0.5,0.6,13,42,False,ConstantRate,random,1,0,70
3826,70,320,0.5,0.6,15,31,False,ConstantRate,random,1,0,70
3827,70,325,0.5,0.6,13,41,False,ConstantRate,random,1,0,70
3828,70,324,0.5,0.6,14,33,False,ConstantRate,random,1,0,70
3829,70,325,0.5,0.6,13,37,False,ConstantRate,random,1,0,70
3830,70,321,0.5,0.6,13,51,False,ConstantRate,random,1,0,70
3831,70,326,0.5,0.6,13,41,False,ConstantRate,random,1,0,70
3832,70,320,0.5,0.6,13,46,False,ConstantRate,random,1,0,70
