,n,e,P_i,P_r,Days_Taken,survivors,Everyone_Dead,Infection_Type,Graph_Type,intital_number_of_infected,intital_number_of_immune,Successful_infections
2800,1500,7475,0.5,0.6,15,887,False,ConstantRate,barabasi,1,0,1500
2801,1500,7476,0.5,0.6,16,876,False,ConstantRate,barabasi,1,0,1500
2802,1500,7469,0.5,0.6,16,918,False,ConstantRate,barabasi,1,0,1500
2803,1500,7477,0.5,0.6,14,900,False,ConstantRate,barabasi,1,0,1500
2804,1500,7475,0.5,0.6,16,895,False,ConstantRate,barabasi,1,0,1500
2805,1500,7477,0.5,0.6,15,852,False,ConstantRate,barabasi,1,0,1500
2806,1500,7477,0.5,0.6,15,915,False,ConstantRate,barabasi,1,0,1500
2807,1500,7475,0.5,0.6,15,878,False,ConstantRate,barabasi,1,0,1500
2808,1500,7475,0.5,0.6,16,906,False,ConstantRate,barabasi,1,0,1500
2809,1500,7474,0.5,0.6,15,928,False,ConstantRate,barabasi,1,0,1500
2810,1500,7470,0.5,0.6,15,935,False,ConstantRate,barabasi,1,0,1500
2811,1500,7474,0.5,0.6,15,916,False,ConstantRate,barabasi,1,0,1500
2812,1500,7476,0.5,0.6,16,892,False,ConstantRate,barabasi,1,0,1500
2813,1500,7471,0.5,0.6,15,907,False,ConstantRate,barabasi,1,0,1500
2814,1500,7470,0.5,0.6,16,890,False,ConstantRate,barabasi,1,0,1500
2815,1500,7475,0.5,0.6,16,871,False,ConstantRate,barabasi,1,0,1500
2816,1500,7467,0.5,0.6,15,949,False,ConstantRate,barabasi,1,0,1500
2817,1500,7474,0.5,0.6,16,887,False,ConstantRate,barabasi,1,0,1500
2818,1500,7474,0.5,0.6,14,899,False,ConstantRate,barabasi,1,0,1500
2819,1500,7475,0.5,0.6,15,876,False,ConstantRate,barabasi,1,0,1500
2820,1500,7472,0.5,0.6,15,903,False,ConstantRate,barabasi,1,0,1500
2821,1500,7475,0.5,0.6,15,912,False,ConstantRate,barabasi,1,0,1500
2822,1500,7466,0.5,0.6,15,885,False,ConstantRate,barabasi,1,0,1500
2823,1500,7481,0.5,0.6,15,881,False,ConstantRate,barabasi,1,0,1500
2824,1500,7470,0.5,0.6,17,919,False,ConstantRate,barabasi,1,0,1500
2825,1500,7472,0.5,0.6,15,919,False,ConstantRate,barabasi,1,0,1500
2826,1500,7470,0.5,0.6,15,897,False,ConstantRate,barabasi,1,0,1499
2827,1500,7475,0.5,0.6,16,871,False,ConstantRate,barabasi,1,0,1500
2828,1500,7474,0.5,0.6,15,912,False,ConstantRate,barabasi,1,0,1500
2829,1500,7475,0.5,0.6,16,893,False,ConstantRate,barabasi,1,0,1500
2830,1500,7471,0.5,0.6,16,886,False,ConstantRate,barabasi,1,0,1500
2831,1500,7476,0.5,0.6,15,908,False,ConstantRate,barabasi,1,0,1500
2832,1500,7470,0.5,0.6,16,893,False,ConstantRate,barabasi,1,0,1500
2833,1500,7477,0.5,0.6,16,887,False,ConstantRate,barabasi,1,0,1500
2834,1500,7476,0.5,0.6,16,891,False,ConstantRate,barabasi,1,0,1500
2835,1500,7468,0.5,0.6,16,901,False,ConstantRate,barabasi,1,0,1500
2836,1500,7472,0.5,0.6,15,874,False,ConstantRate,barabasi,1,0,1500
2837,1500,7479,0.5,0.6,15,886,False,ConstantRate,barabasi,1,0,1500
2838,1500,7474,0.5,0.6,15,870,False,ConstantRate,barabasi,1,0,1500
2839,1500,7477,0.5,0.6,15,900,False,ConstantRate,barabasi,1,0,1500
2840,1500,7478,0.5,0.6,15,867,False,ConstantRate,barabasi,1,0,1500
2841,1500,7467,0.5,0.6,14,867,False,ConstantRate,barabasi,1,0,1499
2842,1500,7473,0.5,0.6,15,889,False,ConstantRate,barabasi,1,0,1500
2843,1500,7475,0.5,0.6,15,933,False,ConstantRate,barabasi,1,0,1500
2844,1500,7471,0.5,0.6,16,881,False,ConstantRate,barabasi,1,0,1500
2845,1500,7477,0.5,0.6,15,896,False,ConstantRate,barabasi,1,0,1500
2846,1500,7470,0.5,0.6,15,900,False,ConstantRate,barabasi,1,0,1500
2847,1500,7469,0.5,0.6,16,880,False,ConstantRate,barabasi,1,0,1500
2848,1500,7474,0.5,0.6,15,897,False,ConstantRate,barabasi,1,0,1500
2849,1500,7471,0.5,0.6,15,920,False,ConstantRate,barabasi,1,0,1499
2850,1500,7473,0.5,0.6,15,887,False,ConstantRate,barabasi,1,0,1500
2851,1500,7471,0.5,0.6,15,907,False,ConstantRate,barabasi,1,0,1500
2852,1500,7470,0.5,0.6,15,896,False,ConstantRate,barabasi,1,0,1500
2853,1500,7479,0.5,0.6,15,889,False,ConstantRate,barabasi,1,0,1500
2854,1500,7477,0.5,0.6,16,928,False,ConstantRate,barabasi,1,0,1500
2855,1500,7469,0.5,0.6,15,884,False,ConstantRate,barabasi,1,0,1500
2856,1500,7467,0.5,0.6,15,911,False,ConstantRate,barabasi,1,0,1499
2857,1500,7472,0.5,0.6,15,906,False,ConstantRate,barabasi,1,0,1500
2858,1500,7478,0.5,0.6,15,865,False,ConstantRate,barabasi,1,0,1500
2859,1500,7477,0.5,0.6,15,926,False,ConstantRate,barabasi,1,0,1500
2860,1500,7468,0.5,0.6,15,904,False,ConstantRate,barabasi,1,0,1500
2861,1500,7476,0.5,0.6,15,928,False,ConstantRate,barabasi,1,0,1500
2862,1500,7477,0.5,0.6,16,918,False,ConstantRate,barabasi,1,0,1500
2863,1500,7471,0.5,0.6,16,929,False,ConstantRate,barabasi,1,0,1500
2864,1500,7469,0.5,0.6,16,865,False,ConstantRate,barabasi,1,0,1500
2865,1500,7473,0.5,0.6,14,873,False,ConstantRate,barabasi,1,0,1500
2866,1500,7469,0.5,0.6,15,899,False,ConstantRate,barabasi,1,0,1500
2867,1500,7472,0.5,0.6,15,903,False,ConstantRate,barabasi,1,0,1500
2868,1500,7472,0.5,0.6,14,898,False,ConstantRate,barabasi,1,0,1500
2869,1500,7474,0.5,0.6,16,903,False,ConstantRate,barabasi,1,0,1500
2870,1500,7471,0.5,0.6,15,904,False,ConstantRate,barabasi,1,0,1500
2871,1500,7469,0.5,0.6,17,909,False,ConstantRate,barabasi,1,0,1500
2872,1500,7470,0.5,0.6,16,910,False,ConstantRate,barabasi,1,0,1500
2873,1500,7476,0.5,0.6,15,888,False,ConstantRate,barabasi,1,0,1500
2874,1500,7474,0.5,0.6,15,906,False,ConstantRate,barabasi,1,0,1500
2875,1500,7470,0.5,0.6,14,866,False,ConstantRate,barabasi,1,0,1500
2876,1500,7474,0.5,0.6,15,926,False,ConstantRate,barabasi,1,0,1500
2877,1500,7473,0.5,0.6,15,862,False,ConstantRate,barabasi,1,0,1500
2878,1500,7472,0.5,0.6,16,924,False,ConstantRate,barabasi,1,0,1500
2879,1500,7469,0.5,0.6,17,875,False,ConstantRate,barabasi,1,0,1500
2880,1500,7476,0.5,0.6,16,905,False,ConstantRate,barabasi,1,0,1500
2881,1500,7475,0.5,0.6,16,905,False,ConstantRate,barabasi,1,0,1500
2882,1500,7472,0.5,0.6,15,933,False,ConstantRate,barabasi,1,0,1500
2883,1500,7471,0.5,0.6,15,874,False,ConstantRate,barabasi,1,0,1500
2884,1500,7475,0.5,0.6,15,913,False,ConstantRate,barabasi,1,0,1500
2885,1500,7473,0.5,0.6,16,895,False,ConstantRate,barabasi,1,0,1500
2886,1500,7477,0.5,0.6,16,906,False,ConstantRate,barabasi,1,0,1500
2887,1500,7471,0.5,0.6,15,895,False,ConstantRate,barabasi,1,0,1500
2888,1500,7470,0.5,0.6,15,900,False,ConstantRate,barabasi,1,0,1500
2889,1500,7474,0.5,0.6,16,905,False,ConstantRate,barabasi,1,0,1500
2890,1500,7476,0.5,0.6,16,918,False,ConstantRate,barabasi,1,0,1500
2891,1500,7472,0.5,0.6,15,911,False,ConstantRate,barabasi,1,0,1500
2892,1500,7468,0.5,0.6,15,914,False,ConstantRate,barabasi,1,0,1500
2893,1500,7473,0.5,0.6,15,888,False,ConstantRate,barabasi,1,0,1500
2894,1500,7469,0.5,0.6,15,912,False,ConstantRate,barabasi,1,0,1500
2895,1500,7476,0.5,0.6,15,907,False,ConstantRate,barabasi,1,0,1500
2896,1500,7475,0.5,0.6,15,899,False,ConstantRate,barabasi,1,0,1500
2897,1500,7472,0.5,0.6,16,906,False,ConstantRate,barabasi,1,0,1500
2898,1500,7472,0.5,0.6,15,913,False,ConstantRate,barabasi,1,0,1500
2899,1500,7480,0.5,0.6,15,911,False,ConstantRate,barabasi,1,0,1500
2900,1500,7475,0.5,0.6,16,926,False,ConstantRate,barabasi,1,0,1500
2901,1500,7476,0.5,0.6,15,934,False,ConstantRate,barabasi,1,0,1500
2902,1500,7469,0.5,0.6,15,871,False,ConstantRate,barabasi,1,0,1500
2903,1500,7477,0.5,0.6,16,896,False,ConstantRate,barabasi,1,0,1500
2904,1500,7475,0.5,0.6,15,912,False,ConstantRate,barabasi,1,0,1500
2905,1500,7477,0.5,0.6,15,894,False,ConstantRate,barabasi,1,0,1500
2906,1500,7477,0.5,0.6,16,898,False,ConstantRate,barabasi,1,0,1500
2907,1500,7475,0.5,0.6,17,899,False,ConstantRate,barabasi,1,0,1500
2908,1500,7475,0.5,0.6,15,906,False,ConstantRate,barabasi,1,0,1500
2909,1500,7474,0.5,0.6,15,924,False,ConstantRate,barabasi,1,0,1500
2910,1500,7470,0.5,0.6,15,914,False,ConstantRate,barabasi,1,0,1500
2911,1500,7474,0.5,0.6,16,913,False,ConstantRate,barabasi,1,0,1500
2912,1500,7476,0.5,0.6,16,926,False,ConstantRate,barabasi,1,0,1500
2913,1500,7471,0.5,0.6,16,886,False,ConstantRate,barabasi,1,0,1500
2914,1500,7470,0.5,0.6,15,882,False,ConstantRate,barabasi,1,0,1500
2915,1500,7475,0.5,0.6,16,919,False,ConstantRate,barabasi,1,0,1500
2916,1500,7467,0.5,0.6,15,896,False,ConstantRate,barabasi,1,0,1500
2917,1500,7474,0.5,0.6,15,882,False,ConstantRate,barabasi,1,0,1500
2918,1500,7474,0.5,0.6,16,884,False,ConstantRate,barabasi,1,0,1500
2919,1500,7475,0.5,0.6,16,892,False,ConstantRate,barabasi,1,0,1500
2920,1500,7472,0.5,0.6,15,881,False,ConstantRate,barabasi,1,0,1500
2921,1500,7475,0.5,0.6,17,929,False,ConstantRate,barabasi,1,0,1500
2922,1500,7466,0.5,0.6,15,914,False,ConstantRate,barabasi,1,0,1500
2923,1500,7481,0.5,0.6,15,895,False,ConstantRate,barabasi,1,0,1500
2924,1500,7470,0.5,0.6,16,894,False,ConstantRate,barabasi,1,0,1500
2925,1500,7472,0.5,0.6,15,942,False,ConstantRate,barabasi,1,0,1500
2926,1500,7470,0.5,0.6,16,915,False,ConstantRate,barabasi,1,0,1499
2927,1500,7475,0.5,0.6,15,914,False,ConstantRate,barabasi,1,0,1500
2928,1500,7474,0.5,0.6,15,860,False,ConstantRate,barabasi,1,0,1500
2929,1500,7475,0.5,0.6,15,906,False,ConstantRate,barabasi,1,0,1500
