,n,e,P_i,P_r,Days_Taken,survivors,Everyone_Dead,Infection_Type,Graph_Type,intital_number_of_infected,intital_number_of_immune,Successful_infections
1800,200,975,0.5,0.6,14,120,False,ConstantRate,barabasi,1,0,200
1801,200,976,0.5,0.6,14,129,False,ConstantRate,barabasi,1,0,200
1802,200,969,0.5,0.6,15,130,False,ConstantRate,barabasi,1,0,200
1803,200,977,0.5,0.6,13,117,False,ConstantRate,barabasi,1,0,200
1804,200,975,0.5,0.6,14,114,False,ConstantRate,barabasi,1,0,200
1805,200,977,0.5,0.6,14,126,False,ConstantRate,barabasi,1,0,200
1806,200,977,0.5,0.6,14,138,False,ConstantRate,barabasi,1,0,200
1807,200,975,0.5,0.6,14,119,False,ConstantRate,barabasi,1,0,200
1808,200,975,0.5,0.6,15,114,False,ConstantRate,barabasi,1,0,200
1809,200,974,0.5,0.6,15,118,False,ConstantRate,barabasi,1,0,200
1810,200,970,0.5,0.6,14,113,False,ConstantRate,barabasi,1,0,200
1811,200,974,0.5,0.6,14,113,False,ConstantRate,barabasi,1,0,200
1812,200,976,0.5,0.6,13,123,False,ConstantRate,barabasi,1,0,200
1813,200,971,0.5,0.6,13,113,False,ConstantRate,barabasi,1,0,200
1814,200,970,0.5,0.6,14,109,False,ConstantRate,barabasi,1,0,200
1815,200,975,0.5,0.6,14,123,False,ConstantRate,barabasi,1,0,200
1816,200,967,0.5,0.6,15,119,False,ConstantRate,barabasi,1,0,200
1817,200,974,0.5,0.6,14,125,False,ConstantRate,barabasi,1,0,200
1818,200,974,0.5,0.6,14,119,False,ConstantRate,barabasi,1,0,200
1819,200,975,0.5,0.6,14,121,False,ConstantRate,barabasi,1,0,200
1820,200,972,0.5,0.6,14,112,False,ConstantRate,barabasi,1,0,200
1821,200,975,0.5,0.6,14,106,False,ConstantRate,barabasi,1,0,200
1822,200,966,0.5,0.6,15,97,False,ConstantRate,barabasi,1,0,200
1823,200,981,0.5,0.6,14,124,False,ConstantRate,barabasi,1,0,200
1824,200,970,0.5,0.6,13,128,False,ConstantRate,barabasi,1,0,200
1825,200,972,0.5,0.6,14,122,False,ConstantRate,barabasi,1,0,200
1826,200,970,0.5,0.6,14,110,False,ConstantRate,barabasi,1,0,199
1827,200,975,0.5,0.6,14,123,False,ConstantRate,barabasi,1,0,200
1828,200,974,0.5,0.6,14,122,False,ConstantRate,barabasi,1,0,200
1829,200,975,0.5,0.6,15,128,False,ConstantRate,barabasi,1,0,200
1830,200,971,0.5,0.6,14,112,False,ConstantRate,barabasi,1,0,200
1831,200,976,0.5,0.6,15,110,False,ConstantRate,barabasi,1,0,200
1832,200,970,0.5,0.6,14,116,False,ConstantRate,barabasi,1,0,200
1833,200,977,0.5,0.6,14,121,False,ConstantRate,barabasi,1,0,200
1834,200,976,0.5,0.6,15,113,False,ConstantRate,barabasi,1,0,200
1835,200,968,0.5,0.6,13,119,False,ConstantRate,barabasi,1,0,200
1836,200,972,0.5,0.6,15,136,False,ConstantRate,barabasi,1,0,200
1837,200,979,0.5,0.6,14,127,False,ConstantRate,barabasi,1,0,200
1838,200,974,0.5,0.6,15,117,False,ConstantRate,barabasi,1,0,200
1839,200,977,0.5,0.6,15,122,False,ConstantRate,barabasi,1,0,200
1840,200,978,0.5,0.6,14,127,False,ConstantRate,barabasi,1,0,200
1841,200,967,0.5,0.6,14,111,False,ConstantRate,barabasi,1,0,199
1842,200,973,0.5,0.6,14,114,False,ConstantRate,barabasi,1,0,200
1843,200,975,0.5,0.6,14,130,False,ConstantRate,barabasi,1,0,200
1844,200,971,0.5,0.6,14,122,False,ConstantRate,barabasi,1,0,200
1845,200,977,0.5,0.6,15,127,False,ConstantRate,barabasi,1,0,200
1846,200,970,0.5,0.6,14,129,False,ConstantRate,barabasi,1,0,200
1847,200,969,0.5,0.6,14,120,False,ConstantRate,barabasi,1,0,200
1848,200,974,0.5,0.6,15,107,False,ConstantRate,barabasi,1,0,200
1849,200,971,0.5,0.6,15,122,False,ConstantRate,barabasi,1,0,199
1850,200,973,0.5,0.6,14,121,False,ConstantRate,barabasi,1,0,200
1851,200,971,0.5,0.6,14,123,False,ConstantRate,barabasi,1,0,200
1852,200,970,0.5,0.6,14,117,False,ConstantRate,barabasi,1,0,200
1853,200,979,0.5,0.6,15,118,False,ConstantRate,barabasi,1,0,200
1854,200,977,0.5,0.6,14,117,False,ConstantRate,barabasi,1,0,200
1855,200,969,0.5,0.6,13,118,False,ConstantRate,barabasi,1,0,200
1856,200,967,0.5,0.6,14,118,False,ConstantRate,barabasi,1,0,199
1857,200,972,0.5,0.6,14,128,False,ConstantRate,barabasi,1,0,200
1858,200,978,0.5,0.6,15,116,False,ConstantRate,barabasi,1,0,200
1859,200,977,0.5,0.6,14,121,False,ConstantRate,barabasi,1,0,200
1860,200,968,0.5,0.6,13,114,False,ConstantRate,barabasi,1,0,200
1861,200,976,0.5,0.6,14,126,False,ConstantRate,barabasi,1,0,200
1862,200,977,0.5,0.6,15,130,False,ConstantRate,barabasi,1,0,200
1863,200,971,0.5,0.6,13,124,False,ConstantRate,barabasi,1,0,200
1864,200,969,0.5,0.6,15,120,False,ConstantRate,barabasi,1,0,200
