,n,e,P_i,P_r,Days_Taken,survivors,Everyone_Dead,Infection_Type,Graph_Type,intital_number_of_infected,intital_number_of_immune,Successful_infections
2600,1000,4975,0.5,0.6,17,625,False,ConstantRate,barabasi,1,0,1000
2601,1000,4976,0.5,0.6,15,613,False,ConstantRate,barabasi,1,0,1000
2602,1000,4969,0.5,0.6,16,603,False,ConstantRate,barabasi,1,0,1000
2603,1000,4977,0.5,0.6,15,616,False,ConstantRate,barabasi,1,0,1000
2604,1000,4975,0.5,0.6,15,611,False,ConstantRate,barabasi,1,0,1000
2605,1000,4977,0.5,0.6,16,619,False,ConstantRate,barabasi,1,0,1000
2606,1000,4977,0.5,0.6,15,604,False,ConstantRate,barabasi,1,0,1000
2607,1000,4975,0.5,0.6,16,612,False,ConstantRate,barabasi,1,0,1000
2608,1000,4975,0.5,0.6,16,588,False,ConstantRate,barabasi,1,0,1000
2609,1000,4974,0.5,0.6,15,619,False,ConstantRate,barabasi,1,0,1000
2610,1000,4970,0.5,0.6,15,601,False,ConstantRate,barabasi,1,0,1000
2611,1000,4974,0.5,0.6,16,602,False,ConstantRate,barabasi,1,0,1000
2612,1000,4976,0.5,0.6,15,580,False,ConstantRate,barabasi,1,0,1000
2613,1000,4971,0.5,0.6,15,581,False,ConstantRate,barabasi,1,0,1000
2614,1000,4970,0.5,0.6,15,616,False,ConstantRate,barabasi,1,0,1000
2615,1000,4975,0.5,0.6,15,583,False,ConstantRate,barabasi,1,0,1000
2616,1000,4967,0.5,0.6,14,598,False,ConstantRate,barabasi,1,0,1000
2617,1000,4974,0.5,0.6,15,613,False,ConstantRate,barabasi,1,0,1000
2618,1000,4974,0.5,0.6,16,605,False,ConstantRate,barabasi,1,0,1000
2619,1000,4975,0.5,0.6,15,598,False,ConstantRate,barabasi,1,0,1000
2620,1000,4972,0.5,0.6,16,601,False,ConstantRate,barabasi,1,0,1000
2621,1000,4975,0.5,0.6,16,588,False,ConstantRate,barabasi,1,0,1000
2622,1000,4966,0.5,0.6,15,609,False,ConstantRate,barabasi,1,0,1000
2623,1000,4981,0.5,0.6,15,583,False,ConstantRate,barabasi,1,0,1000
2624,1000,4970,0.5,0.6,15,566,False,ConstantRate,barabasi,1,0,1000
2625,1000,4972,0.5,0.6,14,597,False,ConstantRate,barabasi,1,0,1000
2626,1000,4970,0.5,0.6,15,600,False,ConstantRate,barabasi,1,0,999
2627,1000,4975,0.5,0.6,15,597,False,ConstantRate,barabasi,1,0,1000
2628,1000,4974,0.5,0.6,15,626,False,ConstantRate,barabasi,1,0,1000
2629,1000,4975,0.5,0.6,15,609,False,ConstantRate,barabasi,1,0,1000
2630,1000,4971,0.5,0.6,14,579,False,ConstantRate,barabasi,1,0,1000
2631,1000,4976,0.5,0.6,14,578,False,ConstantRate,barabasi,1,0,1000
2632,1000,4970,0.5,0.6,15,597,False,ConstantRate,barabasi,1,0,1000
2633,1000,4977,0.5,0.6,15,603,False,ConstantRate,barabasi,1,0,1000
2634,1000,4976,0.5,0.6,16,576,False,ConstantRate,barabasi,1,0,1000
