,n,e,P_i,P_r,Days_Taken,survivors,Everyone_Dead,Infection_Type,Graph_Type,intital_number_of_infected,intital_number_of_immune,Successful_infections
2200,400,1975,0.5,0.6,14,235,False,ConstantRate,barabasi,1,0,400
2201,400,1976,0.5,0.6,14,239,False,ConstantRate,barabasi,1,0,400
2202,400,1969,0.5,0.6,14,235,False,ConstantRate,barabasi,1,0,400
2203,400,1977,0.5,0.6,15,256,False,ConstantRate,barabasi,1,0,400
2204,400,1975,0.5,0.6,15,232,False,ConstantRate,barabasi,1,0,400
2205,400,1977,0.5,0.6,14,221,False,ConstantRate,barabasi,1,0,400
2206,400,1977,0.5,0.6,14,233,False,ConstantRate,barabasi,1,0,400
2207,400,1975,0.5,0.6,14,231,False,ConstantRate,barabasi,1,0,400
2208,400,1975,0.5,0.6,15,238,False,ConstantRate,barabasi,1,0,400
2209,400,1974,0.5,0.6,16,255,False,ConstantRate,barabasi,1,0,400
2210,400,1970,0.5,0.6,14,225,False,ConstantRate,barabasi,1,0,400
2211,400,1974,0.5,0.6,15,250,False,ConstantRate,barabasi,1,0,400
2212,400,1976,0.5,0.6,16,234,False,ConstantRate,barabasi,1,0,400
2213,400,1971,0.5,0.6,13,256,False,ConstantRate,barabasi,1,0,400
2214,400,1970,0.5,0.6,14,240,False,ConstantRate,barabasi,1,0,400
2215,400,1975,0.5,0.6,14,222,False,ConstantRate,barabasi,1,0,400
2216,400,1967,0.5,0.6,15,249,False,ConstantRate,barabasi,1,0,400
2217,400,1974,0.5,0.6,14,244,False,ConstantRate,barabasi,1,0,400
2218,400,1974,0.5,0.6,14,242,False,ConstantRate,barabasi,1,0,400
2219,400,1975,0.5,0.6,15,245,False,ConstantRate,barabasi,1,0,400
2220,400,1972,0.5,0.6,14,228,False,ConstantRate,barabasi,1,0,400
2221,400,1975,0.5,0.6,15,248,False,ConstantRate,barabasi,1,0,400
2222,400,1966,0.5,0.6,14,232,False,ConstantRate,barabasi,1,0,400
2223,400,1981,0.5,0.6,15,238,False,ConstantRate,barabasi,1,0,400
2224,400,1970,0.5,0.6,15,249,False,ConstantRate,barabasi,1,0,400
2225,400,1972,0.5,0.6,15,230,False,ConstantRate,barabasi,1,0,400
2226,400,1970,0.5,0.6,15,229,False,ConstantRate,barabasi,1,0,399
2227,400,1975,0.5,0.6,15,237,False,ConstantRate,barabasi,1,0,400
2228,400,1974,0.5,0.6,15,234,False,ConstantRate,barabasi,1,0,400
2229,400,1975,0.5,0.6,14,248,False,ConstantRate,barabasi,1,0,400
2230,400,1971,0.5,0.6,14,238,False,ConstantRate,barabasi,1,0,400
2231,400,1976,0.5,0.6,14,237,False,ConstantRate,barabasi,1,0,400
2232,400,1970,0.5,0.6,15,243,False,ConstantRate,barabasi,1,0,400
2233,400,1977,0.5,0.6,16,234,False,ConstantRate,barabasi,1,0,400
2234,400,1976,0.5,0.6,15,230,False,ConstantRate,barabasi,1,0,400
2235,400,1968,0.5,0.6,14,240,False,ConstantRate,barabasi,1,0,400
2236,400,1972,0.5,0.6,14,230,False,ConstantRate,barabasi,1,0,400
2237,400,1979,0.5,0.6,15,232,False,ConstantRate,barabasi,1,0,400
2238,400,1974,0.5,0.6,15,246,False,ConstantRate,barabasi,1,0,400
2239,400,1977,0.5,0.6,15,228,False,ConstantRate,barabasi,1,0,400
2240,400,1978,0.5,0.6,14,234,False,ConstantRate,barabasi,1,0,400
2241,400,1967,0.5,0.6,14,228,False,ConstantRate,barabasi,1,0,399
2242,400,1973,0.5,0.6,15,223,False,ConstantRate,barabasi,1,0,400
2243,400,1975,0.5,0.6,14,230,False,ConstantRate,barabasi,1,0,400
2244,400,1971,0.5,0.6,15,232,False,ConstantRate,barabasi,1,0,400
2245,400,1977,0.5,0.6,14,250,False,ConstantRate,barabasi,1,0,400
2246,400,1970,0.5,0.6,15,234,False,ConstantRate,barabasi,1,0,400
2247,400,1969,0.5,0.6,14,250,False,ConstantRate,barabasi,1,0,400
2248,400,1974,0.5,0.6,14,246,False,ConstantRate,barabasi,1,0,400
2249,400,1971,0.5,0.6,15,248,False,ConstantRate,barabasi,1,0,399
2250,400,1973,0.5,0.6,14,236,False,ConstantRate,barabasi,1,0,400
2251,400,1971,0.5,0.6,14,248,False,ConstantRate,barabasi,1,0,400
2252,400,1970,0.5,0.6,14,224,False,ConstantRate,barabasi,1,0,400
2253,400,1979,0.5,0.6,14,223,False,ConstantRate,barabasi,1,0,400
2254,400,1977,0.5,0.6,15,247,False,ConstantRate,barabasi,1,0,400
2255,400,1969,0.5,0.6,14,242,False,ConstantRate,barabasi,1,0,400
2256,400,1967,0.5,0.6,14,224,False,ConstantRate,barabasi,1,0,399
2257,400,1972,0.5,0.6,14,215,False,ConstantRate,barabasi,1,0,400
2258,400,1978,0.5,0.6,15,256,False,ConstantRate,barabasi,1,0,400
2259,400,1977,0.5,0.6,14,255,False,ConstantRate,barabasi,1,0,400
2260,400,1968,0.5,0.6,15,243,False,ConstantRate,barabasi,1,0,400
2261,400,1976,0.5,0.6,15,237,False,ConstantRate,barabasi,1,0,400
2262,400,1977,0.5,0.6,15,243,False,ConstantRate,barabasi,1,0,400
2263,400,1971,0.5,0.6,15,235,False,ConstantRate,barabasi,1,0,400
2264,400,1969,0.5,0.6,14,236,False,ConstantRate,barabasi,1,0,400
2265,400,1973,0.5,0.6,15,245,False,ConstantRate,barabasi,1,0,400
2266,400,1969,0.5,0.6,15,245,False,ConstantRate,barabasi,1,0,400
2267,400,1972,0.5,0.6,14,236,False,ConstantRate,barabasi,1,0,400
2268,400,1972,0.5,0.6,14,260,False,ConstantRate,barabasi,1,0,400
2269,400,1974,0.5,0.6,15,220,False,ConstantRate,barabasi,1,0,400
2270,400,1971,0.5,0.6,14,224,False,ConstantRate,barabasi,1,0,400
2271,400,1969,0.5,0.6,15,253,False,ConstantRate,barabasi,1,0,400
2272,400,1970,0.5,0.6,14,237,False,ConstantRate,barabasi,1,0,400
2273,400,1976,0.5,0.6,15,251,False,ConstantRate,barabasi,1,0,400
2274,400,1974,0.5,0.6,14,243,False,ConstantRate,barabasi,1,0,400
2275,400,1970,0.5,0.6,14,241,False,ConstantRate,barabasi,1,0,400
2276,400,1974,0.5,0.6,14,244,False,ConstantRate,barabasi,1,0,400
2277,400,1973,0.5,0.6,14,245,False,ConstantRate,barabasi,1,0,400
2278,400,1972,0.5,0.6,15,245,False,ConstantRate,barabasi,1,0,400
2279,400,1969,0.5,0.6,15,267,False,ConstantRate,barabasi,1,0,400
2280,400,1976,0.5,0.6,15,246,False,ConstantRate,barabasi,1,0,400
2281,400,1975,0.5,0.6,15,247,False,ConstantRate,barabasi,1,0,400
2282,400,1972,0.5,0.6,15,251,False,ConstantRate,barabasi,1,0,400
2283,400,1971,0.5,0.6,14,232,False,ConstantRate,barabasi,1,0,400
2284,400,1975,0.5,0.6,14,231,False,ConstantRate,barabasi,1,0,400
2285,400,1973,0.5,0.6,15,271,False,ConstantRate,barabasi,1,0,400
2286,400,1977,0.5,0.6,15,246,False,ConstantRate,barabasi,1,0,400
2287,400,1971,0.5,0.6,15,236,False,ConstantRate,barabasi,1,0,400
2288,400,1970,0.5,0.6,15,237,False,ConstantRate,barabasi,1,0,400
2289,400,1974,0.5,0.6,16,243,False,ConstantRate,barabasi,1,0,400
2290,400,1976,0.5,0.6,15,221,False,ConstantRate,barabasi,1,0,400
