,n,e,P_i,P_r,Days_Taken,survivors,Everyone_Dead,Infection_Type,Graph_Type,intital_number_of_infected,intital_number_of_immune,Successful_infections
800,110,525,0.5,0.6,14,65,False,ConstantRate,barabasi,1,0,110
801,110,526,0.5,0.6,14,61,False,ConstantRate,barabasi,1,0,110
802,110,519,0.5,0.6,13,70,False,ConstantRate,barabasi,1,0,110
803,110,527,0.5,0.6,13,67,False,ConstantRate,barabasi,1,0,110
804,110,525,0.5,0.6,15,72,False,ConstantRate,barabasi,1,0,110
805,110,527,0.5,0.6,14,60,False,ConstantRate,barabasi,1,0,110
806,110,527,0.5,0.6,14,70,False,ConstantRate,barabasi,1,0,110
807,110,525,0.5,0.6,14,64,False,ConstantRate,barabasi,1,0,110
808,110,525,0.5,0.6,13,73,False,ConstantRate,barabasi,1,0,110
809,110,524,0.5,0.6,14,60,False,ConstantRate,barabasi,1,0,110
810,110,520,0.5,0.6,14,61,False,ConstantRate,barabasi,1,0,110
811,110,524,0.5,0.6,13,64,False,ConstantRate,barabasi,1,0,110
812,110,526,0.5,0.6,13,69,False,ConstantRate,barabasi,1,0,110
813,110,521,0.5,0.6,14,67,False,ConstantRate,barabasi,1,0,110
814,110,520,0.5,0.6,13,66,False,ConstantRate,barabasi,1,0,110
815,110,525,0.5,0.6,14,70,False,ConstantRate,barabasi,1,0,110
816,110,517,0.5,0.6,14,74,False,ConstantRate,barabasi,1,0,110
817,110,524,0.5,0.6,14,66,False,ConstantRate,barabasi,1,0,110
818,110,524,0.5,0.6,13,74,False,ConstantRate,barabasi,1,0,110
819,110,525,0.5,0.6,14,68,False,ConstantRate,barabasi,1,0,110
820,110,522,0.5,0.6,14,71,False,ConstantRate,barabasi,1,0,110
821,110,525,0.5,0.6,14,58,False,ConstantRate,barabasi,1,0,110
822,110,516,0.5,0.6,14,71,False,ConstantRate,barabasi,1,0,110
823,110,531,0.5,0.6,13,66,False,ConstantRate,barabasi,1,0,110
824,110,520,0.5,0.6,14,74,False,ConstantRate,barabasi,1,0,110
825,110,522,0.5,0.6,14,70,False,ConstantRate,barabasi,1,0,110
826,110,520,0.5,0.6,13,69,False,ConstantRate,barabasi,1,0,109
827,110,525,0.5,0.6,14,62,False,ConstantRate,barabasi,1,0,110
828,110,524,0.5,0.6,14,65,False,ConstantRate,barabasi,1,0,110
829,110,525,0.5,0.6,14,68,False,ConstantRate,barabasi,1,0,110
830,110,521,0.5,0.6,14,59,False,ConstantRate,barabasi,1,0,110
831,110,526,0.5,0.6,14,66,False,ConstantRate,barabasi,1,0,110
832,110,520,0.5,0.6,13,68,False,ConstantRate,barabasi,1,0,110
833,110,527,0.5,0.6,13,62,False,ConstantRate,barabasi,1,0,110
834,110,526,0.5,0.6,14,61,False,ConstantRate,barabasi,1,0,110
835,110,518,0.5,0.6,13,59,False,ConstantRate,barabasi,1,0,110
836,110,522,0.5,0.6,13,61,False,ConstantRate,barabasi,1,0,110
837,110,529,0.5,0.6,14,69,False,ConstantRate,barabasi,1,0,110
838,110,524,0.5,0.6,14,75,False,ConstantRate,barabasi,1,0,110
839,110,527,0.5,0.6,13,63,False,ConstantRate,barabasi,1,0,110
840,110,528,0.5,0.6,14,72,False,ConstantRate,barabasi,1,0,110
841,110,517,0.5,0.6,13,61,False,ConstantRate,barabasi,1,0,109
842,110,523,0.5,0.6,14,74,False,ConstantRate,barabasi,1,0,110
843,110,525,0.5,0.6,13,59,False,ConstantRate,barabasi,1,0,110
844,110,521,0.5,0.6,14,68,False,ConstantRate,barabasi,1,0,110
845,110,527,0.5,0.6,13,52,False,ConstantRate,barabasi,1,0,110
846,110,520,0.5,0.6,14,64,False,ConstantRate,barabasi,1,0,110
847,110,519,0.5,0.6,13,68,False,ConstantRate,barabasi,1,0,110
848,110,524,0.5,0.6,13,67,False,ConstantRate,barabasi,1,0,110
849,110,521,0.5,0.6,13,61,False,ConstantRate,barabasi,1,0,109
850,110,523,0.5,0.6,15,64,False,ConstantRate,barabasi,1,0,110
851,110,521,0.5,0.6,14,58,False,ConstantRate,barabasi,1,0,110
852,110,520,0.5,0.6,14,63,False,ConstantRate,barabasi,1,0,110
853,110,529,0.5,0.6,13,64,False,ConstantRate,barabasi,1,0,110
854,110,527,0.5,0.6,14,59,False,ConstantRate,barabasi,1,0,110
855,110,519,0.5,0.6,14,72,False,ConstantRate,barabasi,1,0,110
856,110,517,0.5,0.6,14,72,False,ConstantRate,barabasi,1,0,109
857,110,522,0.5,0.6,14,68,False,ConstantRate,barabasi,1,0,110
858,110,528,0.5,0.6,13,68,False,ConstantRate,barabasi,1,0,110
859,110,527,0.5,0.6,14,73,False,ConstantRate,barabasi,1,0,110
860,110,518,0.5,0.6,14,67,False,ConstantRate,barabasi,1,0,110
861,110,526,0.5,0.6,14,62,False,ConstantRate,barabasi,1,0,110
862,110,527,0.5,0.6,13,68,False,ConstantRate,barabasi,1,0,110
863,110,521,0.5,0.6,13,69,False,ConstantRate,barabasi,1,0,110
864,110,519,0.5,0.6,14,65,False,ConstantRate,barabasi,1,0,110
865,110,523,0.5,0.6,13,72,False,ConstantRate,barabasi,1,0,110
866,110,519,0.5,0.6,13,66,False,ConstantRate,barabasi,1,0,110
867,110,522,0.5,0.6,13,73,False,ConstantRate,barabasi,1,0,110
868,110,522,0.5,0.6,14,67,False,ConstantRate,barabasi,1,0,110
869,110,524,0.5,0.6,13,64,False,ConstantRate,barabasi,1,0,110
870,110,521,0.5,0.6,15,68,False,ConstantRate,barabasi,1,0,110
871,110,519,0.5,0.6,14,61,False,ConstantRate,barabasi,1,0,110
872,110,520,0.5,0.6,16,71,False,ConstantRate,barabasi,1,0,110
873,110,526,0.5,0.6,13,64,False,ConstantRate,barabasi,1,0,110
874,110,524,0.5,0.6,13,59,False,ConstantRate,barabasi,1,0,110
875,110,520,0.5,0.6,13,71,False,ConstantRate,barabasi,1,0,110
876,110,524,0.5,0.6,13,65,False,ConstantRate,barabasi,1,0,110
877,110,523,0.5,0.6,13,61,False,ConstantRate,barabasi,1,0,110
878,110,522,0.5,0.6,13,64,False,ConstantRate,barabasi,1,0,110
879,110,519,0.5,0.6,15,55,False,ConstantRate,barabasi,1,0,110
880,110,526,0.5,0.6,13,64,False,ConstantRate,barabasi,1,0,110
881,110,525,0.5,0.6,14,53,False,ConstantRate,barabasi,1,0,110
882,110,522,0.5,0.6,15,52,False,ConstantRate,barabasi,1,0,110
883,110,521,0.5,0.6,14,70,False,ConstantRate,barabasi,1,0,110
884,110,525,0.5,0.6,14,75,False,ConstantRate,barabasi,1,0,110
885,110,523,0.5,0.6,14,62,False,ConstantRate,barabasi,1,0,110
