,,e,e,e,e,e,e,e,e,highest_degree,highest_degree,highest_degree,highest_degree,highest_degree,highest_degree,highest_degree,highest_degree,Diameter,Diameter,Diameter,Diameter,Diameter,Diameter,Diameter,Diameter,average_path_length,average_path_length,average_path_length,average_path_length,average_path_length,average_path_length,average_path_length,average_path_length,average_clustering,average_clustering,average_clustering,average_clustering,average_clustering,average_clustering,average_clustering,average_clustering,average_degree,average_degree,average_degree,average_degree,average_degree,average_degree,average_degree,average_degree
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Graph_Type,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random,110,300.0,522.45,3.2033897180359947,515.0,520.0,522.0,525.0,531.0,300.0,17.64,1.491469612614072,15.0,17.0,17.0,18.0,25.0,300.0,4.023333333333333,0.1512121222276315,4.0,4.0,4.0,4.0,5.0,300.0,2.318234083958855,0.008895918878055688,2.285070892410342,2.312718932443703,2.3185988323603004,2.323436196830692,2.360800667222686,300.0,0.0861147004820449,0.007845525024975698,0.0634965539510993,0.08086222823522282,0.0857760280420708,0.09082777702095879,0.1075319273714995,300.0,9.49909090909091,0.058243449418836316,9.363636363636363,9.454545454545457,9.49090909090909,9.545454545454543,9.654545454545454
random,130,300.0,622.45,3.2033897180359947,615.0,620.0,622.0,625.0,631.0,300.0,18.016666666666666,1.5090769584231616,15.0,17.0,18.0,19.0,24.0,300.0,4.043333333333333,0.20394656873443773,4.0,4.0,4.0,4.0,5.0,300.0,2.39161081295965,0.007678359162115877,2.3743589743589744,2.386046511627907,2.391293977340489,2.396541443053071,2.4108527131782944,300.0,0.07451542057425074,0.0064254416863752765,0.0606159060832792,0.07011631238426302,0.0740564770824951,0.07830563743102432,0.0986695569387876,300.0,9.576153846153845,0.04928291873901514,9.461538461538462,9.538461538461538,9.569230769230767,9.615384615384617,9.707692307692309
random,150,300.0,722.45,3.2033897180359947,715.0,720.0,722.0,725.0,731.0,300.0,18.15,1.5105537313352464,15.0,17.0,18.0,19.0,24.0,300.0,4.046666666666667,0.21127631471468897,4.0,4.0,4.0,4.0,5.0,300.0,2.451957046979866,0.006909522726439358,2.4332885906040267,2.4468680089485457,2.452080536912752,2.4565548098434005,2.4757046979865773,300.0,0.06474609557053933,0.005648214848747619,0.0486160136160135,0.0607447255903137,0.0645798328205448,0.06876544264702153,0.0810243231713819,300.0,9.632666666666667,0.04271186290714653,9.533333333333331,9.6,9.626666666666669,9.666666666666666,9.746666666666666
random,170,300.0,822.45,3.2033897180359947,815.0,820.0,822.0,825.0,831.0,300.0,18.726666666666667,1.5663547211910676,15.0,18.0,18.0,20.0,25.0,300.0,4.13,0.3368653453081293,4.0,4.0,4.0,4.0,5.0,300.0,2.5045406659705303,0.0063317151470769825,2.4853463278802645,2.5002262443438914,2.504002784545771,2.508666898712148,2.524608423250957,300.0,0.0572734537288134,0.0050097918209139475,0.043923321008096,0.054051660211740224,0.0572027183140823,0.06031907564096588,0.0723845790887313,300.0,9.675882352941176,0.03768693785924724,9.588235294117649,9.647058823529411,9.670588235294115,9.705882352941176,9.776470588235297
random,190,300.0,922.45,3.2033897180359947,915.0,920.0,922.0,925.0,931.0,300.0,18.86,1.4813444133296652,16.0,18.0,19.0,20.0,26.0,300.0,4.1466666666666665,0.35436441131823415,4.0,4.0,4.0,4.0,5.0,300.0,2.5503228441474053,0.005618885614587445,2.5345029239766084,2.5464633806739068,2.5502923976608187,2.5541353383458647,2.565692007797271,300.0,0.051663363784627665,0.004446397494270719,0.0420788422104211,0.0485615784759299,0.0517782570027151,0.05442734424158567,0.0687139389135477,300.0,9.71,0.03371989176879962,9.63157894736842,9.68421052631579,9.705263157894738,9.736842105263158,9.8
random,200,300.0,972.45,3.2033897180359947,965.0,970.0,972.0,975.0,981.0,300.0,18.883333333333333,1.5868572531985934,16.0,18.0,19.0,20.0,26.0,300.0,4.226666666666667,0.41937470042123454,4.0,4.0,4.0,4.0,5.0,300.0,2.57188391959799,0.005836621951710325,2.556884422110553,2.5674748743718587,2.5719095477386933,2.575640703517588,2.5923618090452263,300.0,0.04868095470497697,0.004099347796542255,0.0340226889123947,0.0458417377256386,0.048747895014342305,0.0515536201092508,0.0614891717759364,300.0,9.724499999999999,0.032033897180359934,9.65,9.7,9.72,9.75,9.81
random,300,300.0,1472.45,3.2033897180359947,1465.0,1470.0,1472.0,1475.0,1481.0,300.0,19.56,1.3854475388635774,17.0,19.0,19.0,20.0,24.0,300.0,4.823333333333333,0.38202359741972386,4.0,5.0,5.0,5.0,5.0,300.0,2.7372743961352657,0.004804679358213304,2.723277591973244,2.734163879598662,2.737313266443701,2.7404515050167224,2.7516610925306577,300.0,0.03277638650456789,0.0030582074447997433,0.0257467496670282,0.030724967191104926,0.032883534479509646,0.035045675829731476,0.0415320216992043,300.0,9.816333333333333,0.021355931453573177,9.766666666666667,9.8,9.813333333333333,9.833333333333334,9.873333333333331
random,400,300.0,1972.45,3.2033897180359947,1965.0,1970.0,1972.0,1975.0,1981.0,300.0,19.986666666666668,1.579495142518548,17.0,19.0,20.0,21.0,26.0,300.0,4.996666666666667,0.05773502691896256,4.0,5.0,5.0,5.0,5.0,300.0,2.856834502923977,0.003911706931923447,2.845764411027569,2.8539003759398494,2.8568922305764413,2.859260651629073,2.8704636591478696,300.0,0.02459342138286955,0.002072255814786261,0.0193749491607463,0.0232149638018929,0.024563009090582552,0.0258245905603684,0.030717239245103,300.0,9.862250000000001,0.016016948590179905,9.825,9.85,9.86,9.875,9.905
random,500,300.0,2472.45,3.2033897180359947,2465.0,2470.0,2472.0,2475.0,2481.0,300.0,20.486666666666668,1.5699377601648823,17.0,19.0,20.0,21.0,27.0,300.0,5.043333333333333,0.2039465687344377,5.0,5.0,5.0,5.0,6.0,300.0,2.9528354308617235,0.0035617033694684435,2.9434148296593188,2.950739478957916,2.9529058116232463,2.95513627254509,2.96174749498998,300.0,0.019664618493531696,0.0015935417866573766,0.0162132348044112,0.018683222260195902,0.019636569302954397,0.020626814757310076,0.0239415104159686,300.0,9.889800000000001,0.012813558872143974,9.86,9.88,9.888,9.9,9.924
random,1000,300.0,4972.45,3.2033897180359947,4965.0,4970.0,4972.0,4975.0,4981.0,300.0,21.506666666666668,1.4434567700647318,18.0,20.0,21.0,22.0,27.0,300.0,5.37,0.4836109993188817,5.0,5.0,5.0,6.0,6.0,300.0,3.2630608074741407,0.0023146959677977637,3.2569469469469468,3.2615510510510513,3.262874874874875,3.264605105105105,3.2694674674674675,300.0,0.009978501596848635,0.0008240732080917048,0.0074787502229452,0.0094088946382135,0.0099700122211809,0.010539320453368375,0.0130319120597624,300.0,9.9449,0.00640677943607198,9.93,9.94,9.944,9.95,9.962
random,1500,300.0,7472.45,3.2033897180359947,7465.0,7470.0,7472.0,7475.0,7481.0,300.0,22.106666666666666,1.4336923664303853,19.0,21.0,22.0,23.0,28.0,300.0,5.976666666666667,0.23729711747532015,5.0,6.0,6.0,6.0,7.0,300.0,3.442039074938848,0.0019461272124988466,3.436980209028241,3.4408859239492995,3.4420048921503223,3.4432719590838334,3.4481547698465644,300.0,0.00667052959500906,0.0006192056996157574,0.0053051086704135,0.006227267522352599,0.0066110449492028,0.007083134382244251,0.0085887744808797,300.0,9.963266666666668,0.004271186290714695,9.953333333333331,9.96,9.962666666666667,9.966666666666669,9.974666666666666
random,2000,300.0,9972.45,3.2033897180359947,9965.0,9970.0,9972.0,9975.0,9981.0,300.0,22.38,1.3911810146004062,19.0,21.0,22.0,23.0,28.0,300.0,6.01,0.09966499068325334,6.0,6.0,6.0,6.0,7.0,300.0,3.5637791045522755,0.0016997851349475654,3.558458229114557,3.5627386193096546,3.563797898949475,3.564869434717359,3.5685632816408206,300.0,0.00500042369594687,0.00045103214944643415,0.0035845972525926,0.00468262398650945,0.00502557995152415,0.005312938950883949,0.0062468378542682,300.0,9.972449999999998,0.003203389718036065,9.965,9.97,9.972,9.975,9.981
random,2500,300.0,12472.45,3.2033897180359947,12465.0,12470.0,12472.0,12475.0,12481.0,300.0,22.673333333333332,1.4259734299647522,20.0,22.0,22.0,23.0,30.0,300.0,6.053333333333334,0.22507276167731266,6.0,6.0,6.0,6.0,7.0,300.0,3.6564111682006137,0.0015615384247102486,3.652047058823529,3.6553363745498197,3.6563503801520607,3.6573710284113643,3.661118527410964,300.0,0.003984571286566116,0.00034043810339154016,0.003027277355928,0.003752502431050325,0.00398545658460525,0.004183826160939125,0.0053388434991221,300.0,9.97796,0.002562711774428999,9.972,9.976,9.9776,9.98,9.9848
