Number_of_Nodes,Real_Diameter,Aprrox_Diameter,Average_Clustering,Approx_Clustering
30,2,2.778466514782393,0.551214200353721,0.38560478763418343
30,2,2.778466514782393,0.5246596823082891,0.38560478763418343
30,2,2.778466514782393,0.548750144041906,0.38560478763418343
30,3,2.778466514782393,0.5569373963607374,0.38560478763418343
30,2,2.778466514782393,0.5678189637869943,0.38560478763418343
30,2,2.778466514782393,0.5309399725798298,0.38560478763418343
30,2,2.778466514782393,0.5572346836170365,0.38560478763418343
30,2,2.778466514782393,0.5390241782740773,0.38560478763418343
30,2,2.778466514782393,0.5612917933135997,0.38560478763418343
30,2,2.778466514782393,0.5484132912151488,0.38560478763418343
30,2,2.778466514782393,0.560647143212899,0.38560478763418343
30,2,2.778466514782393,0.5644594910306985,0.38560478763418343
30,2,2.778466514782393,0.5428160387370914,0.38560478763418343
30,2,2.778466514782393,0.5633505016817036,0.38560478763418343
30,2,2.778466514782393,0.5433657934199729,0.38560478763418343
30,2,2.778466514782393,0.5530951238304177,0.38560478763418343
30,2,2.778466514782393,0.5762245883618883,0.38560478763418343
30,2,2.778466514782393,0.5542574366625382,0.38560478763418343
30,2,2.778466514782393,0.5479215885020838,0.38560478763418343
30,2,2.778466514782393,0.5602731015239429,0.38560478763418343
30,2,2.778466514782393,0.5446829936489378,0.38560478763418343
30,2,2.778466514782393,0.5932387556639364,0.38560478763418343
30,2,2.778466514782393,0.5833706110997133,0.38560478763418343
30,2,2.778466514782393,0.5231840181375785,0.38560478763418343
30,2,2.778466514782393,0.5291457950025725,0.38560478763418343
30,3,2.778466514782393,0.5551336203119753,0.38560478763418343
30,2,2.778466514782393,0.5493030944143478,0.38560478763418343
30,2,2.778466514782393,0.5143407267640004,0.38560478763418343
30,2,2.778466514782393,0.5304433887406023,0.38560478763418343
30,2,2.778466514782393,0.5457519851486066,0.38560478763418343
30,2,2.778466514782393,0.561413042295395,0.38560478763418343
30,2,2.778466514782393,0.5683622191860176,0.38560478763418343
30,2,2.778466514782393,0.5578364267959101,0.38560478763418343
30,3,2.778466514782393,0.550725181537875,0.38560478763418343
30,2,2.778466514782393,0.5509200370106951,0.38560478763418343
30,2,2.778466514782393,0.5726997235750095,0.38560478763418343
30,2,2.778466514782393,0.556799420909328,0.38560478763418343
30,2,2.778466514782393,0.5912730028256344,0.38560478763418343
30,2,2.778466514782393,0.552790402975825,0.38560478763418343
30,2,2.778466514782393,0.5474836475300872,0.38560478763418343
30,2,2.778466514782393,0.5360398407050043,0.38560478763418343
30,2,2.778466514782393,0.5903134643134642,0.38560478763418343
30,2,2.778466514782393,0.5587342138550241,0.38560478763418343
30,2,2.778466514782393,0.5581224487013962,0.38560478763418343
30,2,2.778466514782393,0.5575170155221306,0.38560478763418343
30,3,2.778466514782393,0.5676588683672411,0.38560478763418343
30,2,2.778466514782393,0.5201643099475917,0.38560478763418343
30,2,2.778466514782393,0.5384238883390182,0.38560478763418343
30,2,2.778466514782393,0.5455885157727262,0.38560478763418343
30,2,2.778466514782393,0.5283227455528574,0.38560478763418343
30,2,2.778466514782393,0.5484090915963981,0.38560478763418343
30,2,2.778466514782393,0.5705423456832126,0.38560478763418343
30,2,2.778466514782393,0.5714919881173751,0.38560478763418343
30,2,2.778466514782393,0.5781592855004486,0.38560478763418343
30,2,2.778466514782393,0.5644322187063472,0.38560478763418343
30,2,2.778466514782393,0.5557751232704119,0.38560478763418343
30,2,2.778466514782393,0.5486416445462078,0.38560478763418343
30,2,2.778466514782393,0.572671338472927,0.38560478763418343
30,2,2.778466514782393,0.5805842846598669,0.38560478763418343
