,n,e,Graph_Type,highest_degree,Diameter,average_path_length,average_clustering,average_degree
900,200,978,barabasi,47,4.0,2.480502512562814,0.1108078605480323,9.78
901,200,969,barabasi,53,4.0,2.497035175879397,0.1076982189669589,9.69
902,200,973,barabasi,61,4.0,2.4545728643216083,0.1280670857133436,9.73
903,200,976,barabasi,50,4.0,2.468190954773869,0.1268263350736035,9.76
904,200,973,barabasi,42,4.0,2.4662311557788943,0.1226588568956948,9.73
905,200,977,barabasi,56,4.0,2.4642713567839194,0.1139092858453061,9.77
906,200,971,barabasi,55,4.0,2.4869849246231155,0.1058654230818333,9.71
907,200,972,barabasi,54,4.0,2.487035175879397,0.1094561451701085,9.72
908,200,975,barabasi,61,4.0,2.461306532663317,0.126202179969257,9.75
909,200,970,barabasi,50,4.0,2.484472361809045,0.1272465539281624,9.7
910,200,970,barabasi,67,4.0,2.4703015075376884,0.1195988009160082,9.7
911,200,970,barabasi,48,4.0,2.4799497487437185,0.1110743954097525,9.7
912,200,971,barabasi,45,4.0,2.4903015075376884,0.1211348337462997,9.71
913,200,977,barabasi,44,4.0,2.4879396984924624,0.1161621731449108,9.77
914,200,971,barabasi,46,4.0,2.4726633165829144,0.1135795996857742,9.71
915,200,970,barabasi,38,4.0,2.515025125628141,0.098943751098642,9.7
916,200,976,barabasi,46,4.0,2.488140703517588,0.1144611463325579,9.76
917,200,968,barabasi,61,4.0,2.4679396984924624,0.1238834786651758,9.68
918,200,981,barabasi,67,4.0,2.445829145728643,0.147087227666119,9.81
919,200,976,barabasi,51,4.0,2.483718592964824,0.1160459803724089,9.76
920,200,978,barabasi,54,4.0,2.4587939698492463,0.1383144437747673,9.78
921,200,973,barabasi,46,4.0,2.4838693467336683,0.1110274586208423,9.73
922,200,966,barabasi,43,inf,0.0,0.1031588334195793,9.66
923,200,976,barabasi,55,4.0,2.4665829145728644,0.1224421611654213,9.76
924,200,976,barabasi,53,4.0,2.4673366834170856,0.1224500096979006,9.76
925,200,970,barabasi,62,4.0,2.451105527638191,0.1206521842128135,9.7
926,200,972,barabasi,65,4.0,2.456984924623116,0.1177242109011018,9.72
