,n,e,Graph_Type,highest_degree,Diameter,average_path_length,average_clustering,average_degree
800,190,928,barabasi,59,4.0,2.466555277081593,0.1142276854463706,9.76842105263158
801,190,919,barabasi,46,4.0,2.4838206627680317,0.111373963254664,9.673684210526316
802,190,923,barabasi,53,4.0,2.4555277081592872,0.126112032677241,9.715789473684213
803,190,926,barabasi,46,4.0,2.4609301030353663,0.1182548206690463,9.74736842105263
804,190,923,barabasi,56,4.0,2.4532442216652743,0.1251855614563348,9.715789473684213
805,190,927,barabasi,54,4.0,2.432971317181844,0.1278731905737992,9.757894736842106
806,190,921,barabasi,48,4.0,2.4536340852130327,0.1227230871619459,9.694736842105264
807,190,922,barabasi,47,4.0,2.475856307435255,0.1188186995960654,9.705263157894738
808,190,925,barabasi,54,4.0,2.4532999164578118,0.1227689318163138,9.736842105263158
809,190,920,barabasi,47,4.0,2.459871901977165,0.1101376421896537,9.68421052631579
810,190,920,barabasi,47,4.0,2.477248677248677,0.1059711456812477,9.68421052631579
811,190,920,barabasi,41,4.0,2.467000835421888,0.1127462966990336,9.68421052631579
812,190,921,barabasi,40,4.0,2.468114731272626,0.1117920747488954,9.694736842105264
813,190,927,barabasi,55,4.0,2.4328599275967697,0.1354493495087588,9.757894736842106
814,190,921,barabasi,58,4.0,2.4443330548593707,0.1213493117611501,9.694736842105264
815,190,920,barabasi,39,4.0,2.465831244778613,0.1102632718231225,9.68421052631579
816,190,926,barabasi,56,4.0,2.450960735171261,0.1324726749456896,9.74736842105263
817,190,918,barabasi,61,4.0,2.4450570871623505,0.1310155947533612,9.663157894736845
818,190,931,barabasi,58,4.0,2.4439431913116123,0.1401477200884861,9.8
819,190,926,barabasi,58,4.0,2.439710387078808,0.1254301630361572,9.74736842105263
820,190,928,barabasi,51,4.0,2.4480089111668057,0.1450072619915137,9.76842105263158
821,190,923,barabasi,50,4.0,2.4640490114174325,0.1196674072382434,9.715789473684213
822,190,916,barabasi,42,inf,0.0,0.1141691626201579,9.642105263157896
823,190,926,barabasi,48,4.0,2.468671679197995,0.1267802550387499,9.74736842105263
824,190,926,barabasi,49,4.0,2.458368142578669,0.1253594990510597,9.74736842105263
825,190,920,barabasi,55,4.0,2.4580896686159845,0.1230660160990566,9.68421052631579
826,190,922,barabasi,49,4.0,2.4510164299637984,0.1146898403393651,9.705263157894738
827,190,927,barabasi,44,4.0,2.457588415483152,0.1322991196942359,9.757894736842106
828,190,925,barabasi,51,4.0,2.4442216652742967,0.1355407021157074,9.736842105263158
829,190,924,barabasi,47,4.0,2.4771929824561405,0.1209495939880674,9.726315789473684
830,190,924,barabasi,53,4.0,2.457254246727931,0.1228079550563997,9.726315789473684
831,190,920,barabasi,47,4.0,2.47485380116959,0.1213970664177422,9.68421052631579
832,190,923,barabasi,50,4.0,2.450737956001114,0.129603460411027,9.715789473684213
833,190,923,barabasi,52,4.0,2.4548593706488444,0.1190842843137119,9.715789473684213
834,190,920,barabasi,53,4.0,2.476858813700919,0.1141298193728332,9.68421052631579
835,190,925,barabasi,50,4.0,2.4575327206906152,0.1245980909971566,9.736842105263158
836,190,918,barabasi,50,4.0,2.488109161793372,0.1091238334180817,9.663157894736845
837,190,923,barabasi,50,4.0,2.467390698969646,0.1179558482675088,9.715789473684213
838,190,926,barabasi,48,4.0,2.464884433305486,0.1239129319642099,9.74736842105263
839,190,922,barabasi,41,4.0,2.473628515733779,0.1109044480328781,9.705263157894738
840,190,919,barabasi,46,4.0,2.4662768031189084,0.1294984790604517,9.673684210526316
841,190,926,barabasi,52,4.0,2.4699526594263435,0.1138641655998558,9.74736842105263
842,190,918,barabasi,46,4.0,2.4580896686159845,0.12542042008276,9.663157894736845
843,190,927,barabasi,45,4.0,2.4516290726817043,0.1396566223552201,9.757894736842106
844,190,921,barabasi,47,4.0,2.447563352826511,0.1301507002455804,9.694736842105264
845,190,924,barabasi,51,4.0,2.4609301030353663,0.1160895711688772,9.726315789473684
846,190,922,barabasi,46,4.0,2.460373155109997,0.1210156939107416,9.705263157894738
847,190,917,barabasi,54,inf,0.0,0.1357114333050539,9.652631578947368
848,190,919,barabasi,55,4.0,2.45224171539961,0.1386258238914496,9.673684210526316
849,190,917,barabasi,47,4.0,2.464438874965191,0.1179877393728093,9.652631578947368
850,190,923,barabasi,54,4.0,2.4668894458368142,0.1168688550123458,9.715789473684213
851,190,921,barabasi,66,4.0,2.4287942077415763,0.1418053505907481,9.694736842105264
852,190,921,barabasi,52,4.0,2.477471456418825,0.1037559756404027,9.694736842105264
853,190,924,barabasi,46,4.0,2.4701197438039544,0.1049762113761059,9.726315789473684
854,190,920,barabasi,38,4.0,2.5022556390977444,0.097062709506326,9.68421052631579
855,190,921,barabasi,44,4.0,2.460150375939849,0.1162970762303787,9.694736842105264
856,190,926,barabasi,46,4.0,2.458201058201058,0.11857382553856,9.74736842105263
857,190,929,barabasi,53,4.0,2.4417153996101364,0.1421845195032441,9.778947368421052
858,190,928,barabasi,43,4.0,2.471846282372598,0.1214615620622385,9.76842105263158
859,190,921,barabasi,40,4.0,2.4540239487607907,0.1157782661538396,9.694736842105264
860,190,925,barabasi,40,4.0,2.449958228905597,0.1110773685778093,9.736842105263158
861,190,922,barabasi,46,4.0,2.4532442216652743,0.1235942231316258,9.705263157894738
862,190,925,barabasi,44,4.0,2.467613478139794,0.1200335680741495,9.736842105263158
863,190,920,barabasi,46,4.0,2.471345029239766,0.106583541771221,9.68421052631579
864,190,920,barabasi,53,4.0,2.4289612921191868,0.1473562029518255,9.68421052631579
865,190,925,barabasi,45,4.0,2.456140350877193,0.1161407377052841,9.736842105263158
866,190,918,barabasi,46,inf,0.0,0.1124557954690797,9.663157894736845
867,190,919,barabasi,48,4.0,2.4663881927039824,0.1026173839042785,9.673684210526316
868,190,920,barabasi,41,4.0,2.475020885547201,0.1058523928558818,9.68421052631579
869,190,919,barabasi,52,4.0,2.447897521581732,0.13255527896984,9.673684210526316
870,190,922,barabasi,45,4.0,2.47218045112782,0.1040664770359476,9.705263157894738
871,190,921,barabasi,51,4.0,2.4700083542188804,0.1302137448097642,9.694736842105264
872,190,925,barabasi,43,4.0,2.4725703146755778,0.1125908964705183,9.736842105263158
873,190,923,barabasi,53,4.0,2.434307992202729,0.1342432124746051,9.715789473684213
874,190,922,barabasi,43,4.0,2.491005291005291,0.0975466014265073,9.705263157894738
875,190,919,barabasi,55,4.0,2.482149818991924,0.112797399645033,9.673684210526316
876,190,928,barabasi,57,4.0,2.453968253968254,0.1331194558099598,9.76842105263158
877,190,920,barabasi,54,4.0,2.4662211083263714,0.1193129377328548,9.68421052631579
878,190,920,barabasi,47,4.0,2.4754107490949595,0.1064086494723964,9.68421052631579
879,190,919,barabasi,58,4.0,2.4573656363130048,0.1159708781650447,9.673684210526316
880,190,917,barabasi,44,4.0,2.4701197438039544,0.1084564650376982,9.652631578947368
881,190,921,barabasi,42,4.0,2.4592035644667223,0.1105230437208446,9.694736842105264
882,190,926,barabasi,47,4.0,2.446783625730994,0.132260170205185,9.74736842105263
883,190,926,barabasi,46,4.0,2.4493455861876914,0.1156521047014879,9.74736842105263
884,190,921,barabasi,45,4.0,2.4638819270398216,0.1106794753671104,9.694736842105264
885,190,921,barabasi,53,4.0,2.4497911445279867,0.1237202879786358,9.694736842105264
886,190,918,barabasi,45,4.0,2.4693957115009746,0.1134966187093292,9.663157894736845
887,190,919,barabasi,49,4.0,2.454079643553328,0.1379763394842216,9.673684210526316
888,190,919,barabasi,41,4.0,2.4876079086605403,0.1124385238126405,9.673684210526316
