,n,e,Graph_Type,highest_degree,Diameter,average_path_length,average_clustering,average_degree
1600,2500,12478,barabasi,173,5.0,3.222531572629052,0.023267713591485,9.9824
1601,2500,12469,barabasi,169,5.0,3.2714967587034813,0.0192615064742553,9.9752
1602,2500,12473,barabasi,192,5.0,3.2405278911564626,0.0195835991577838,9.9784
1603,2500,12476,barabasi,230,5.0,3.2368889955982394,0.0226494990966043,9.9808
1604,2500,12473,barabasi,161,5.0,3.269440256102441,0.0210035125654878,9.9784
1605,2500,12477,barabasi,175,5.0,3.283117406962785,0.0173072483195032,9.9816
1606,2500,12471,barabasi,200,5.0,3.256882593037215,0.0213031832366528,9.9768
1607,2500,12472,barabasi,193,5.0,3.2831868747499,0.0181326722931554,9.9776
1608,2500,12475,barabasi,206,5.0,3.2675390156062427,0.0225488312450243,9.98
1609,2500,12470,barabasi,161,5.0,3.2684897959183674,0.0196105359229319,9.976
1610,2500,12470,barabasi,238,5.0,3.265609923969588,0.0195231897423049,9.976
1611,2500,12470,barabasi,190,5.0,3.2689213285314125,0.0190518639134267,9.976
1612,2500,12471,barabasi,198,5.0,3.2426144857943178,0.0210966445566314,9.9768
1613,2500,12477,barabasi,163,5.0,3.249083633453381,0.0209405871074438,9.9816
1614,2500,12471,barabasi,202,5.0,3.255858823529412,0.019404589942837,9.9768
1615,2500,12470,barabasi,162,5.0,3.2787175670268107,0.0182413718837961,9.976
1616,2500,12476,barabasi,154,5.0,3.2608358543417366,0.0200067114005285,9.9808
1617,2500,12468,barabasi,199,5.0,3.2864438575430173,0.0198058308850247,9.9744
1618,2500,12481,barabasi,200,5.0,3.237183513405362,0.0214743467394271,9.9848
1619,2500,12476,barabasi,196,5.0,3.248723169267707,0.0211744285322327,9.9808
1620,2500,12478,barabasi,177,5.0,3.2556926770708285,0.0199896106349406,9.9824
1621,2500,12473,barabasi,169,5.0,3.258070908363345,0.0208079674675853,9.9784
1622,2500,12466,barabasi,169,inf,0.0,0.0214968772461986,9.9728
1623,2500,12476,barabasi,179,5.0,3.256692757102841,0.0199240910081855,9.9808
1624,2500,12476,barabasi,180,5.0,3.247446818727491,0.021199657885458,9.9808
1625,2500,12470,barabasi,184,5.0,3.271394957983193,0.0198656447962819,9.976
1626,2500,12472,barabasi,155,5.0,3.276738535414166,0.0199657154362922,9.9776
1627,2500,12477,barabasi,241,5.0,3.2591308523409364,0.0196434044974043,9.9816
1628,2500,12475,barabasi,194,5.0,3.248277230892357,0.0219899487869983,9.98
1629,2500,12474,barabasi,195,5.0,3.243822008803521,0.0217486885470478,9.9792
1630,2500,12474,barabasi,212,5.0,3.267683713485394,0.0202967967419935,9.9792
1631,2500,12470,barabasi,157,5.0,3.271779111644658,0.0191877210758799,9.976
1632,2500,12473,barabasi,185,5.0,3.27726162464986,0.0196324940968836,9.9784
1633,2500,12473,barabasi,178,5.0,3.2609165266106444,0.0202716702414935,9.9784
1634,2500,12470,barabasi,156,5.0,3.27204193677471,0.0193035593159298,9.976
1635,2500,12475,barabasi,175,5.0,3.2562010404161663,0.0215269408027586,9.98
1636,2500,12468,barabasi,165,5.0,3.2820577831132454,0.0182158544693681,9.9744
1637,2500,12473,barabasi,183,5.0,3.27415862344938,0.0197787246989118,9.9784
1638,2500,12476,barabasi,167,5.0,3.266101960784314,0.0207407298368574,9.9808
1639,2500,12472,barabasi,155,5.0,3.2771274909963988,0.0188935391811321,9.9776
1640,2500,12469,barabasi,175,5.0,3.2719801520608245,0.0194730866955593,9.9752
1641,2500,12476,barabasi,231,5.0,3.242417927170868,0.0211829330488083,9.9808
1642,2500,12468,barabasi,183,5.0,3.255831932773109,0.0203944280187537,9.9744
1643,2500,12477,barabasi,173,5.0,3.261760384153661,0.0214701427761859,9.9816
