,n,e,Graph_Type,highest_degree,Diameter,average_path_length,average_clustering,average_degree
700,170,828,barabasi,48,4.0,2.4226940480334145,0.1362724261717987,9.741176470588234
701,170,819,barabasi,40,4.0,2.42847198050818,0.1249205191475274,9.635294117647058
702,170,823,barabasi,38,4.0,2.439122868082144,0.1029333784365432,9.68235294117647
703,170,826,barabasi,39,4.0,2.441837800208841,0.1110372520581143,9.717647058823529
704,170,823,barabasi,45,4.0,2.4153150017403413,0.1415111862622443,9.68235294117647
705,170,827,barabasi,46,4.0,2.4317438217890706,0.1296213320369182,9.729411764705882
706,170,821,barabasi,42,4.0,2.443369300382875,0.1262138028550944,9.658823529411764
707,170,822,barabasi,50,4.0,2.422763661677689,0.1231658732083121,9.670588235294115
708,170,825,barabasi,51,4.0,2.38795683954055,0.1465777521021931,9.705882352941176
709,170,820,barabasi,46,4.0,2.424852071005917,0.1251008731001406,9.647058823529411
710,170,820,barabasi,51,4.0,2.42506091193874,0.1319651293933891,9.647058823529411
711,170,820,barabasi,45,4.0,2.430351548903585,0.1231787462288508,9.647058823529411
712,170,821,barabasi,37,4.0,2.4317438217890706,0.1114425133649174,9.658823529411764
713,170,827,barabasi,42,4.0,2.424295161851723,0.1395347473118261,9.729411764705882
714,170,821,barabasi,44,4.0,2.434876435781413,0.1106981087779751,9.658823529411764
715,170,820,barabasi,53,4.0,2.414131569787678,0.128046858080215,9.647058823529411
716,170,826,barabasi,44,4.0,2.4208840932822837,0.1354550138362799,9.717647058823529
717,170,818,barabasi,42,4.0,2.4464323007309434,0.1168534002973327,9.623529411764704
718,170,831,barabasi,54,4.0,2.42457361642882,0.1410521974387922,9.776470588235297
719,170,826,barabasi,46,4.0,2.416568047337278,0.1374705127093461,9.717647058823529
720,170,828,barabasi,48,4.0,2.4065436825617823,0.1495356947979695,9.741176470588234
721,170,823,barabasi,34,4.0,2.427427775844065,0.1147523032110393,9.68235294117647
722,170,816,barabasi,45,inf,0.0,0.1351935512689149,9.6
723,170,826,barabasi,43,4.0,2.419491820396798,0.1147874505554591,9.717647058823529
724,170,826,barabasi,53,4.0,2.4126000696136445,0.1343632038848257,9.717647058823529
725,170,820,barabasi,44,4.0,2.4301427079707625,0.1238218569922781,9.647058823529411
726,170,822,barabasi,59,4.0,2.3922728854855557,0.1534306780580872,9.670588235294115
727,170,827,barabasi,58,4.0,2.4286808214410023,0.1221890231822929,9.729411764705882
728,170,825,barabasi,60,4.0,2.4146884789418728,0.125374520709786,9.705882352941176
729,170,824,barabasi,56,4.0,2.4203967977723635,0.1338592216153648,9.694117647058825
730,170,824,barabasi,47,4.0,2.4241559345631742,0.1312652283607675,9.694117647058825
731,170,820,barabasi,46,4.0,2.422554820744866,0.1334058949493234,9.647058823529411
732,170,823,barabasi,47,4.0,2.421092934215106,0.1344433409235687,9.68235294117647
733,170,823,barabasi,48,4.0,2.421510616080752,0.1332882659318807,9.68235294117647
734,170,820,barabasi,50,4.0,2.4072398190045248,0.1445208265619632,9.647058823529411
735,170,825,barabasi,49,4.0,2.4020187956839543,0.1302821113420871,9.705882352941176
736,170,818,barabasi,48,4.0,2.4341802993386703,0.1217164918378153,9.623529411764704
