,n,e,Graph_Type,highest_degree,Diameter,average_path_length,average_clustering,average_degree
1200,500,2478,barabasi,93,4.0,2.762629258517034,0.0645628418083879,9.912
1201,500,2469,barabasi,76,5.0,2.797867735470942,0.0531302856942743,9.876
1202,500,2473,barabasi,76,4.0,2.76638877755511,0.0653070082032947,9.892
1203,500,2476,barabasi,73,4.0,2.7779719438877755,0.0584730024802005,9.904
1204,500,2473,barabasi,66,4.0,2.818412825651303,0.0510817181401006,9.892
1205,500,2477,barabasi,75,4.0,2.7840480961923846,0.0626311565237429,9.908
1206,500,2471,barabasi,71,4.0,2.7869579158316635,0.0561257014454261,9.884
1207,500,2472,barabasi,76,5.0,2.7649058116232466,0.0661888885220205,9.888
1208,500,2475,barabasi,94,4.0,2.778557114228457,0.0639109849826906,9.9
1209,500,2470,barabasi,89,4.0,2.759286573146293,0.0689656344155062,9.88
1210,500,2470,barabasi,75,5.0,2.799583166332665,0.057705480395465,9.88
1211,500,2470,barabasi,77,4.0,2.7620120240480963,0.063825627299918,9.88
1212,500,2471,barabasi,106,4.0,2.7610821643286574,0.0626678589047836,9.884
1213,500,2477,barabasi,70,5.0,2.751679358717435,0.06601652853983,9.908
1214,500,2471,barabasi,72,4.0,2.783102204408818,0.0578161273020771,9.884
1215,500,2470,barabasi,107,4.0,2.7162805611222445,0.0785299737593637,9.88
1216,500,2476,barabasi,71,5.0,2.779054108216433,0.0607432487724384,9.904
1217,500,2468,barabasi,84,5.0,2.80496993987976,0.0522621201243499,9.872
1218,500,2481,barabasi,93,5.0,2.7383406813627253,0.0720759363164298,9.924
1219,500,2476,barabasi,79,5.0,2.788184368737475,0.0592022162594047,9.904
1220,500,2478,barabasi,67,4.0,2.769547094188377,0.0680480659783569,9.912
1221,500,2473,barabasi,68,4.0,2.7728016032064127,0.057909856187989,9.892
1222,500,2466,barabasi,70,inf,0.0,0.0605220819806166,9.864
1223,500,2476,barabasi,85,4.0,2.7663967935871745,0.0684787788682784,9.904
1224,500,2476,barabasi,67,4.0,2.773507014028056,0.05791505363366,9.904
1225,500,2470,barabasi,78,5.0,2.770949899799599,0.0609505980499039,9.88
1226,500,2472,barabasi,76,4.0,2.779823647294589,0.0679677411124672,9.888
1227,500,2477,barabasi,97,5.0,2.742805611222445,0.0740346902755852,9.908
1228,500,2475,barabasi,72,4.0,2.781394789579158,0.0564724757002904,9.9
1229,500,2474,barabasi,78,5.0,2.776705410821643,0.0630336707384395,9.896
1230,500,2474,barabasi,101,4.0,2.777915831663327,0.0649386642234859,9.896
