,n,e,Graph_Type,highest_degree,Diameter,average_path_length,average_clustering,average_degree
1000,300,1478,barabasi,87,4.0,2.5829877369007805,0.1043336869017897,9.853333333333332
1001,300,1469,barabasi,45,4.0,2.654515050167224,0.0711214651504852,9.793333333333331
1002,300,1473,barabasi,60,4.0,2.630367892976589,0.0870694858808067,9.82
1003,300,1476,barabasi,56,4.0,2.630613154960981,0.0803340043931124,9.84
1004,300,1473,barabasi,57,4.0,2.5988628762541808,0.0880154498903536,9.82
1005,300,1477,barabasi,70,4.0,2.606220735785953,0.0877156994887,9.846666666666666
1006,300,1471,barabasi,64,4.0,2.6259754738015606,0.0889483981913019,9.806666666666668
1007,300,1472,barabasi,57,4.0,2.594046822742475,0.0957383559355197,9.813333333333333
1008,300,1475,barabasi,59,4.0,2.598929765886288,0.0963973890599967,9.833333333333334
1009,300,1470,barabasi,59,4.0,2.6173467112597546,0.0882500355981921,9.8
1010,300,1470,barabasi,63,4.0,2.616923076923077,0.080236377668276,9.8
1011,300,1470,barabasi,68,4.0,2.5991304347826087,0.0926171984584983,9.8
1012,300,1471,barabasi,71,4.0,2.6104570791527317,0.0868754390556908,9.806666666666668
1013,300,1477,barabasi,76,4.0,2.5964771460423632,0.0936744204771683,9.846666666666666
1014,300,1471,barabasi,59,4.0,2.620624303232999,0.0911350478654005,9.806666666666668
1015,300,1470,barabasi,52,4.0,2.629119286510591,0.0859748362900252,9.8
1016,300,1476,barabasi,59,4.0,2.604325529542921,0.0974624154312385,9.84
1017,300,1468,barabasi,63,4.0,2.626064659977704,0.0854955637035199,9.786666666666669
1018,300,1481,barabasi,63,4.0,2.6180379041248605,0.0895879014597431,9.873333333333331
1019,300,1476,barabasi,54,4.0,2.617458193979933,0.0885615487924311,9.84
1020,300,1478,barabasi,67,4.0,2.606800445930881,0.0956009747079534,9.853333333333332
1021,300,1473,barabasi,52,4.0,2.61752508361204,0.0850869758075796,9.82
1022,300,1466,barabasi,61,inf,0.0,0.0855663660702298,9.773333333333332
1023,300,1476,barabasi,50,4.0,2.6279821627647717,0.0842694574431593,9.84
1024,300,1476,barabasi,92,4.0,2.5787959866220738,0.0936571376362015,9.84
1025,300,1470,barabasi,80,4.0,2.5980602006688964,0.089552068118967,9.8
1026,300,1472,barabasi,67,4.0,2.6044816053511703,0.0896632905608305,9.813333333333333
1027,300,1477,barabasi,54,4.0,2.6220289855072463,0.0813428889380396,9.846666666666666
1028,300,1475,barabasi,54,4.0,2.627335562987737,0.0815593414430664,9.833333333333334
1029,300,1474,barabasi,57,4.0,2.604459308807135,0.087370742251553,9.826666666666666
1030,300,1474,barabasi,67,4.0,2.617614269788183,0.0809695679793081,9.826666666666666
1031,300,1470,barabasi,58,4.0,2.6028985507246376,0.0935980148989223,9.8
1032,300,1473,barabasi,68,4.0,2.6081605351170567,0.0899546874100599,9.82
1033,300,1473,barabasi,81,4.0,2.5785284280936454,0.1102428566539452,9.82
1034,300,1470,barabasi,57,4.0,2.6118840579710145,0.0822528129206202,9.8
1035,300,1475,barabasi,60,4.0,2.6201783723522856,0.0848542371062393,9.833333333333334
1036,300,1468,barabasi,50,4.0,2.62283166109253,0.0780722772760438,9.786666666666669
1037,300,1473,barabasi,63,4.0,2.6151616499442585,0.0860117921600605,9.82
1038,300,1476,barabasi,53,4.0,2.6082943143812707,0.0881071121430302,9.84
1039,300,1472,barabasi,55,4.0,2.641315496098105,0.0736467556404526,9.813333333333333
1040,300,1469,barabasi,54,4.0,2.609208472686733,0.0882964334138803,9.793333333333331
1041,300,1476,barabasi,59,4.0,2.61768115942029,0.0916163903092167,9.84
1042,300,1468,barabasi,65,4.0,2.6302341137123744,0.0763294704154724,9.786666666666669
1043,300,1477,barabasi,61,4.0,2.601226309921962,0.096696290414851,9.846666666666666
1044,300,1471,barabasi,51,4.0,2.607335562987737,0.0802583825438639,9.806666666666668
1045,300,1474,barabasi,63,4.0,2.6041471571906354,0.0948975355625105,9.826666666666666
1046,300,1472,barabasi,72,4.0,2.608004459308807,0.0969953047664659,9.813333333333333
1047,300,1467,barabasi,51,inf,0.0,0.0849812759690603,9.78
1048,300,1469,barabasi,59,4.0,2.6282943143812707,0.0791955797520102,9.793333333333331
1049,300,1467,barabasi,45,4.0,2.649030100334448,0.0747557637623768,9.78
1050,300,1473,barabasi,63,4.0,2.628472686733556,0.0743219120628724,9.82
1051,300,1471,barabasi,91,4.0,2.5571460423634336,0.1167692926806181,9.806666666666668
1052,300,1471,barabasi,62,4.0,2.6451505016722408,0.0751905907649845,9.806666666666668
1053,300,1474,barabasi,61,4.0,2.622118171683389,0.0795915913669246,9.826666666666666
1054,300,1470,barabasi,57,4.0,2.602586399108138,0.0884655919922685,9.8
1055,300,1471,barabasi,68,4.0,2.6054180602006687,0.089439570618312,9.806666666666668
1056,300,1476,barabasi,57,4.0,2.622519509476031,0.0804115617763996,9.84
1057,300,1479,barabasi,62,4.0,2.6144035674470456,0.0904814621633949,9.86
1058,300,1478,barabasi,65,4.0,2.6052842809364547,0.0919341280698984,9.853333333333332
1059,300,1471,barabasi,72,4.0,2.6156521739130434,0.0916821992516964,9.806666666666668
1060,300,1475,barabasi,63,4.0,2.6001114827201786,0.1002747143929178,9.833333333333334
1061,300,1472,barabasi,47,4.0,2.624726867335563,0.0769994424244038,9.813333333333333
1062,300,1475,barabasi,76,4.0,2.603924191750279,0.0940359462081644,9.833333333333334
1063,300,1470,barabasi,71,4.0,2.5898550724637683,0.0952940227268897,9.8
1064,300,1470,barabasi,57,4.0,2.630501672240803,0.082897460336945,9.8
1065,300,1475,barabasi,57,4.0,2.6153846153846154,0.087801424392962,9.833333333333334
1066,300,1468,barabasi,77,inf,0.0,0.0911007497127202,9.786666666666669
1067,300,1469,barabasi,62,4.0,2.599643255295429,0.0977066065646766,9.793333333333331
1068,300,1470,barabasi,64,4.0,2.6031661092530656,0.0925749219200352,9.8
1069,300,1469,barabasi,57,4.0,2.6373467112597546,0.0752299075221668,9.793333333333331
1070,300,1472,barabasi,70,4.0,2.599821627647714,0.0909505191382485,9.813333333333333
1071,300,1471,barabasi,61,4.0,2.6121516164994425,0.089167916351365,9.806666666666668
1072,300,1475,barabasi,49,4.0,2.628272017837235,0.0826342840119392,9.833333333333334
1073,300,1473,barabasi,67,4.0,2.604325529542921,0.1004233404822756,9.82
1074,300,1472,barabasi,74,4.0,2.594046822742475,0.092006434076972,9.813333333333333
1075,300,1469,barabasi,67,4.0,2.5911928651059086,0.1027489059006173,9.793333333333331
1076,300,1478,barabasi,68,4.0,2.592263099219621,0.0972466996891746,9.853333333333332
1077,300,1470,barabasi,51,4.0,2.623411371237458,0.077704464542534,9.8
1078,300,1470,barabasi,57,4.0,2.614983277591973,0.0942197847748669,9.8
1079,300,1469,barabasi,57,4.0,2.6245039018952063,0.0907295838078247,9.793333333333331
1080,300,1467,barabasi,60,4.0,2.627491638795987,0.077824547217183,9.78
1081,300,1471,barabasi,53,4.0,2.637302118171684,0.073563693293293,9.806666666666668
1082,300,1476,barabasi,65,4.0,2.6001560758082496,0.0913220836644958,9.84
1083,300,1476,barabasi,60,4.0,2.603277591973244,0.0880819102725965,9.84
1084,300,1471,barabasi,55,4.0,2.622943143812709,0.0840070445304658,9.806666666666668
1085,300,1471,barabasi,52,4.0,2.6244816053511704,0.0743529619138061,9.806666666666668
1086,300,1468,barabasi,57,4.0,2.643500557413601,0.0829875998854962,9.786666666666669
1087,300,1469,barabasi,65,4.0,2.6082943143812707,0.0866216637961516,9.793333333333331
1088,300,1469,barabasi,78,4.0,2.6133333333333333,0.0859752565870187,9.793333333333331
1089,300,1476,barabasi,58,4.0,2.5847045707915277,0.1005332245459981,9.84
1090,300,1469,barabasi,59,4.0,2.6219843924191752,0.086454866259411,9.793333333333331
1091,300,1471,barabasi,59,4.0,2.624414715719064,0.0903252975535131,9.806666666666668
1092,300,1468,barabasi,65,4.0,2.602876254180602,0.0960673647589167,9.786666666666669
1093,300,1468,barabasi,70,4.0,2.601181716833891,0.0925175267980601,9.786666666666669
1094,300,1467,barabasi,59,4.0,2.617725752508361,0.0963888378641723,9.78
1095,300,1475,barabasi,74,4.0,2.592552954292085,0.09289523979028,9.833333333333334
1096,300,1473,barabasi,68,4.0,2.610992196209588,0.0948049934154883,9.82
