,n,e,Graph_Type,highest_degree,Diameter,average_path_length,average_clustering,average_degree
1100,400,1978,barabasi,71,4.0,2.6991604010025063,0.0749641823324969,9.89
1101,400,1969,barabasi,61,4.0,2.7315914786967417,0.0602994235555146,9.845
1102,400,1973,barabasi,65,4.0,2.7058521303258147,0.0703300158114033,9.865
1103,400,1976,barabasi,87,4.0,2.700989974937343,0.0831631249969507,9.88
1104,400,1973,barabasi,83,4.0,2.6897869674185464,0.0800804264062766,9.865
1105,400,1977,barabasi,77,4.0,2.706528822055138,0.0747629080319197,9.885
1106,400,1971,barabasi,66,4.0,2.692957393483709,0.0880083354022379,9.855
1107,400,1972,barabasi,76,4.0,2.7038847117794487,0.0756824917357478,9.86
1108,400,1975,barabasi,69,4.0,2.7011904761904764,0.0727237653697066,9.875
1109,400,1970,barabasi,64,4.0,2.699423558897243,0.0661941265922223,9.85
1110,400,1970,barabasi,73,4.0,2.704824561403509,0.061073552153653,9.85
1111,400,1970,barabasi,89,4.0,2.682080200501253,0.0749197856110018,9.85
1112,400,1971,barabasi,82,4.0,2.708872180451128,0.0747724509876935,9.855
1113,400,1977,barabasi,71,4.0,2.7034586466165416,0.071586159844178,9.885
1114,400,1971,barabasi,69,4.0,2.702844611528822,0.0727462878794868,9.855
1115,400,1970,barabasi,54,4.0,2.706616541353384,0.0691593040053252,9.85
1116,400,1976,barabasi,84,4.0,2.697092731829574,0.0706396300567084,9.88
1117,400,1968,barabasi,72,4.0,2.712330827067669,0.0680202885097953,9.84
1118,400,1981,barabasi,81,4.0,2.6960401002506265,0.0791758900700954,9.905
1119,400,1976,barabasi,70,4.0,2.6861027568922307,0.075960202356088,9.88
1120,400,1978,barabasi,86,4.0,2.701967418546366,0.0752055230542024,9.89
1121,400,1973,barabasi,51,4.0,2.750526315789473,0.0534329794370048,9.865
1122,400,1966,barabasi,61,inf,0.0,0.0766793315228881,9.83
1123,400,1976,barabasi,67,5.0,2.701115288220552,0.0720479460118596,9.88
1124,400,1976,barabasi,81,4.0,2.700802005012531,0.0813025712820836,9.88
1125,400,1970,barabasi,63,4.0,2.70890977443609,0.0682396806936279,9.85
1126,400,1972,barabasi,61,4.0,2.708145363408521,0.0673144385586077,9.86
1127,400,1977,barabasi,79,4.0,2.6857017543859647,0.0708864506036743,9.885
1128,400,1975,barabasi,75,4.0,2.703558897243108,0.0711720829825884,9.875
1129,400,1974,barabasi,86,4.0,2.667706766917293,0.0884975815591098,9.87
1130,400,1974,barabasi,58,4.0,2.725839598997494,0.0642857723520654,9.87
1131,400,1970,barabasi,74,4.0,2.7018671679197994,0.0713258273910017,9.85
1132,400,1973,barabasi,67,4.0,2.7141478696741856,0.0658061448553818,9.865
1133,400,1973,barabasi,68,4.0,2.7197619047619046,0.0701007332648273,9.865
1134,400,1970,barabasi,82,4.0,2.6857894736842107,0.0805189651940835,9.85
1135,400,1975,barabasi,97,4.0,2.675112781954887,0.0833246682682953,9.875
1136,400,1968,barabasi,70,4.0,2.7070175438596493,0.0680351703194895,9.84
1137,400,1973,barabasi,100,4.0,2.658872180451128,0.0939707791227027,9.865
1138,400,1976,barabasi,69,4.0,2.7031328320802004,0.075492225230945,9.88
1139,400,1972,barabasi,48,4.0,2.7359022556390977,0.0613254170255183,9.86
1140,400,1969,barabasi,77,4.0,2.694523809523809,0.0714845078258873,9.845
1141,400,1976,barabasi,63,4.0,2.722406015037594,0.0633072893355826,9.88
1142,400,1968,barabasi,48,4.0,2.7372556390977443,0.0577910218387217,9.84
1143,400,1977,barabasi,89,4.0,2.674799498746867,0.0842775465006973,9.885
1144,400,1971,barabasi,63,4.0,2.738483709273183,0.0609507764165314,9.855
1145,400,1974,barabasi,67,4.0,2.7036340852130327,0.0695717329314072,9.87
1146,400,1972,barabasi,63,4.0,2.723771929824561,0.0597283743991826,9.86
1147,400,1967,barabasi,69,inf,0.0,0.0704871292438646,9.835
1148,400,1969,barabasi,75,4.0,2.704699248120301,0.0715576590798602,9.845
1149,400,1967,barabasi,69,5.0,2.7077944862155388,0.0771297283389053,9.835
1150,400,1973,barabasi,70,4.0,2.6886466165413534,0.0738210053647543,9.865
1151,400,1971,barabasi,71,4.0,2.712142857142857,0.0632054926210423,9.855
1152,400,1971,barabasi,97,4.0,2.715125313283208,0.0719220108971465,9.855
1153,400,1974,barabasi,63,4.0,2.7062406015037594,0.0696933948592197,9.87
1154,400,1970,barabasi,73,4.0,2.685902255639098,0.0732129206409386,9.85
1155,400,1971,barabasi,52,4.0,2.7259147869674187,0.0717795961317202,9.855
1156,400,1976,barabasi,60,4.0,2.708859649122807,0.0745519194670544,9.88
1157,400,1979,barabasi,71,4.0,2.683583959899749,0.0827622890831045,9.895
1158,400,1978,barabasi,66,4.0,2.6906140350877195,0.0804072086515852,9.89
1159,400,1971,barabasi,73,4.0,2.693045112781955,0.0741417137761212,9.855
1160,400,1975,barabasi,62,4.0,2.7010275689223056,0.0749070716118441,9.875
1161,400,1972,barabasi,68,4.0,2.724699248120301,0.0658943629408329,9.86
1162,400,1975,barabasi,69,4.0,2.7150751879699246,0.0744649485044156,9.875
1163,400,1970,barabasi,58,4.0,2.703997493734336,0.0764790976017568,9.85
1164,400,1970,barabasi,81,4.0,2.7053508771929824,0.0668929091369355,9.85
1165,400,1975,barabasi,69,4.0,2.705300751879699,0.0709453964614816,9.875
