,n,e,Graph_Type,highest_degree,Diameter,average_path_length,average_clustering,average_degree
600,150,728,barabasi,64,4.0,2.325458612975392,0.1926114579000751,9.706666666666669
601,150,719,barabasi,52,4.0,2.381744966442953,0.1451823139923528,9.586666666666666
602,150,723,barabasi,40,4.0,2.378612975391499,0.1389543886663667,9.64
603,150,726,barabasi,50,4.0,2.352304250559284,0.1655623806089125,9.68
604,150,723,barabasi,36,4.0,2.399910514541387,0.1354148219081529,9.64
605,150,727,barabasi,39,4.0,2.381476510067114,0.1429432764287981,9.693333333333332
606,150,721,barabasi,41,4.0,2.3880984340044744,0.1384542416471053,9.613333333333332
607,150,722,barabasi,36,4.0,2.385503355704698,0.1350316357377843,9.626666666666669
608,150,725,barabasi,36,4.0,2.397225950782998,0.1291710609575712,9.666666666666666
609,150,720,barabasi,36,4.0,2.404116331096197,0.1269438035657237,9.6
610,150,720,barabasi,40,4.0,2.357225950782998,0.154660696951713,9.6
611,150,720,barabasi,51,4.0,2.379060402684564,0.1471218525219517,9.6
612,150,721,barabasi,35,4.0,2.406711409395973,0.1191136842517571,9.613333333333332
613,150,727,barabasi,42,4.0,2.38076062639821,0.1332949475117172,9.693333333333332
614,150,721,barabasi,37,4.0,2.382192393736018,0.1402727935541123,9.613333333333332
615,150,720,barabasi,42,4.0,2.373333333333333,0.1436116333830462,9.6
616,150,726,barabasi,36,4.0,2.392125279642058,0.1208251041599879,9.68
617,150,718,barabasi,49,4.0,2.362953020134228,0.1503500604509305,9.573333333333334
618,150,731,barabasi,44,4.0,2.3685011185682328,0.1384640351351988,9.746666666666666
619,150,726,barabasi,39,4.0,2.3834451901565994,0.1425446366187114,9.68
620,150,728,barabasi,39,4.0,2.363579418344519,0.1636933649332456,9.706666666666669
621,150,723,barabasi,46,4.0,2.365279642058165,0.143446560268522,9.64
622,150,716,barabasi,45,inf,0.0,0.1273441621592471,9.546666666666669
623,150,726,barabasi,37,4.0,2.392662192393736,0.1359268747501023,9.68
624,150,726,barabasi,42,4.0,2.3872035794183444,0.1375390761396802,9.68
625,150,720,barabasi,41,4.0,2.3869351230425058,0.1103996096011766,9.6
626,150,722,barabasi,40,4.0,2.378791946308725,0.1429726273456791,9.626666666666669
627,150,727,barabasi,41,4.0,2.374586129753915,0.1321630980811947,9.693333333333332
628,150,725,barabasi,46,4.0,2.375302013422819,0.1406501901969401,9.666666666666666
629,150,724,barabasi,37,4.0,2.407695749440716,0.1091531240927933,9.653333333333334
630,150,724,barabasi,50,4.0,2.371901565995526,0.1449189854842454,9.653333333333334
631,150,720,barabasi,39,4.0,2.3769127516778523,0.1329722265405881,9.6
632,150,723,barabasi,38,4.0,2.386219239373602,0.1251880540329108,9.64
633,150,723,barabasi,42,4.0,2.360178970917226,0.1632223086549585,9.64
634,150,720,barabasi,54,4.0,2.3947203579418344,0.1269969868476534,9.6
635,150,725,barabasi,43,4.0,2.378434004474273,0.1365789557194881,9.666666666666666
636,150,718,barabasi,39,4.0,2.4097539149888143,0.1150319871495095,9.573333333333334
637,150,723,barabasi,45,4.0,2.382013422818792,0.1379740807773659,9.64
638,150,726,barabasi,45,4.0,2.361431767337808,0.1577529328134876,9.68
639,150,722,barabasi,40,4.0,2.390425055928412,0.1309820262930398,9.626666666666669
640,150,719,barabasi,38,4.0,2.3982102908277403,0.1308472366177351,9.586666666666666
641,150,726,barabasi,56,4.0,2.3288590604026846,0.1845026454811761,9.68
642,150,718,barabasi,38,4.0,2.378255033557047,0.1349076644399842,9.573333333333334
643,150,727,barabasi,57,4.0,2.351677852348993,0.1700140678749881,9.693333333333332
644,150,721,barabasi,45,4.0,2.3914988814317675,0.131645635789023,9.613333333333332
645,150,724,barabasi,40,4.0,2.3836241610738256,0.139647658739779,9.653333333333334
646,150,722,barabasi,41,4.0,2.3977628635346755,0.1395068903571194,9.626666666666669
647,150,717,barabasi,43,inf,0.0,0.1273960293145118,9.56
648,150,719,barabasi,38,4.0,2.396868008948546,0.1130488318463935,9.586666666666666
649,150,717,barabasi,46,4.0,2.367069351230425,0.159758300706426,9.56
650,150,723,barabasi,35,4.0,2.392841163310962,0.1369060416828524,9.64
651,150,721,barabasi,49,4.0,2.373601789709172,0.1368143514668889,9.613333333333332
652,150,721,barabasi,51,4.0,2.364026845637584,0.1553234774802762,9.613333333333332
653,150,724,barabasi,42,4.0,2.399284116331096,0.1348165966551522,9.653333333333334
654,150,720,barabasi,38,4.0,2.390246085011185,0.142616309813306,9.6
655,150,721,barabasi,35,4.0,2.3936465324384786,0.1300976763218382,9.613333333333332
656,150,726,barabasi,46,4.0,2.379060402684564,0.1373163501341365,9.68
657,150,729,barabasi,55,4.0,2.359194630872483,0.1561240209287609,9.72
658,150,728,barabasi,45,4.0,2.365190156599553,0.1391540162219616,9.706666666666669
659,150,721,barabasi,45,4.0,2.382818791946309,0.1393098322470921,9.613333333333332
660,150,725,barabasi,45,4.0,2.359463087248322,0.1467654279328848,9.666666666666666
661,150,722,barabasi,39,4.0,2.3767337807606266,0.1418454137161979,9.626666666666669
662,150,725,barabasi,46,4.0,2.371364653243848,0.1571233963746521,9.666666666666666
663,150,720,barabasi,35,4.0,2.402326621923937,0.1279418924369152,9.6
664,150,720,barabasi,43,4.0,2.3993736017897094,0.1162331322089213,9.6
665,150,725,barabasi,49,4.0,2.3668903803131998,0.1590598612967802,9.666666666666666
666,150,718,barabasi,38,inf,0.0,0.1365419003678543,9.573333333333334
667,150,719,barabasi,37,4.0,2.3915883668903803,0.1364852643505518,9.586666666666666
668,150,720,barabasi,38,4.0,2.399910514541387,0.1260195210777502,9.6
669,150,719,barabasi,51,4.0,2.3788814317673377,0.1283743844525938,9.586666666666666
670,150,722,barabasi,43,4.0,2.372170022371365,0.148555952859881,9.626666666666669
671,150,721,barabasi,41,4.0,2.3665324384787474,0.139360803910004,9.613333333333332
672,150,725,barabasi,35,4.0,2.3866666666666667,0.1190494055213495,9.666666666666666
673,150,723,barabasi,45,4.0,2.370738255033557,0.1467068062689548,9.64
674,150,722,barabasi,37,4.0,2.4015212527964205,0.1197370634078232,9.626666666666669
675,150,719,barabasi,43,4.0,2.370738255033557,0.1486837102980807,9.586666666666666
676,150,728,barabasi,49,4.0,2.3593736017897093,0.1474577804055279,9.706666666666669
677,150,720,barabasi,34,4.0,2.403579418344519,0.1283934334288769,9.6
678,150,720,barabasi,37,4.0,2.407337807606264,0.1189220645972343,9.6
679,150,719,barabasi,36,4.0,2.3981208053691274,0.1267814807637853,9.586666666666666
680,150,717,barabasi,41,4.0,2.397046979865772,0.1232346961784373,9.56
681,150,721,barabasi,36,4.0,2.389261744966443,0.1123986785544958,9.613333333333332
682,150,726,barabasi,46,4.0,2.370738255033557,0.1356170757960564,9.68
683,150,726,barabasi,43,4.0,2.378255033557047,0.1463451608828543,9.68
684,150,721,barabasi,45,4.0,2.390425055928412,0.1269514416656091,9.613333333333332
685,150,721,barabasi,36,4.0,2.4084116331096195,0.1161533779258818,9.613333333333332
686,150,718,barabasi,34,4.0,2.397046979865772,0.1331052302149623,9.573333333333334
687,150,719,barabasi,38,4.0,2.390246085011185,0.1331448668896412,9.586666666666666
688,150,719,barabasi,49,4.0,2.3737807606263983,0.1375695391890568,9.586666666666666
689,150,726,barabasi,41,4.0,2.3822818791946307,0.1354326114597415,9.68
690,150,719,barabasi,37,4.0,2.4053691275167783,0.1248435958355457,9.586666666666666
691,150,721,barabasi,48,4.0,2.3760178970917227,0.1473997954988075,9.613333333333332
692,150,718,barabasi,39,4.0,2.3983892617449665,0.1313128309900538,9.573333333333334
693,150,718,barabasi,39,4.0,2.3918568232662194,0.1294045972244328,9.573333333333334
