,n,e,Graph_Type,highest_degree,Diameter,average_path_length,average_clustering,average_degree
200,70,328,barabasi,26,4.0,2.109316770186336,0.2497840790858597,9.371428571428572
201,70,319,barabasi,26,3.0,2.1109730848861283,0.2180614562841452,9.114285714285714
202,70,323,barabasi,26,3.0,2.09648033126294,0.2259961252075361,9.228571428571428
203,70,326,barabasi,36,3.0,2.048033126293996,0.2493280315304959,9.314285714285717
204,70,323,barabasi,26,3.0,2.101863354037267,0.2039308528156479,9.228571428571428
205,70,327,barabasi,30,4.0,2.092753623188406,0.2337471325131105,9.342857142857143
206,70,321,barabasi,28,4.0,2.09648033126294,0.2142361793878051,9.17142857142857
207,70,322,barabasi,31,4.0,2.10351966873706,0.2122915665681328,9.2
208,70,325,barabasi,26,3.0,2.1076604554865424,0.2074808497561703,9.285714285714286
209,70,320,barabasi,30,3.0,2.070393374741201,0.2391880754605806,9.142857142857142
210,70,320,barabasi,27,3.0,2.092753623188406,0.2226955359329068,9.142857142857142
211,70,320,barabasi,28,4.0,2.109316770186336,0.2322957001064034,9.142857142857142
212,70,321,barabasi,26,3.0,2.095652173913044,0.2017960115711111,9.17142857142857
213,70,327,barabasi,28,3.0,2.0819875776397514,0.2416218634838715,9.342857142857143
214,70,321,barabasi,34,3.0,2.0699792960662524,0.2757414633026617,9.17142857142857
215,70,320,barabasi,26,3.0,2.094409937888199,0.2255770596055867,9.142857142857142
216,70,326,barabasi,28,3.0,2.1002070393374743,0.2055781675461982,9.314285714285717
217,70,318,barabasi,21,4.0,2.1333333333333333,0.1962825666397094,9.085714285714284
218,70,331,barabasi,35,3.0,2.046790890269151,0.2932278685355589,9.457142857142856
219,70,326,barabasi,26,3.0,2.084057971014493,0.2205376244015072,9.314285714285717
220,70,328,barabasi,27,3.0,2.0869565217391304,0.2284839646814437,9.371428571428572
221,70,323,barabasi,29,3.0,2.086128364389234,0.2073541177922058,9.228571428571428
222,70,316,barabasi,27,inf,0.0,0.2060544201322618,9.028571428571428
223,70,326,barabasi,28,3.0,2.106832298136646,0.2001716897448874,9.314285714285717
224,70,326,barabasi,28,3.0,2.0906832298136644,0.2343389446266202,9.314285714285717
225,70,320,barabasi,25,3.0,2.0898550724637683,0.2001132376171412,9.142857142857142
226,70,322,barabasi,30,4.0,2.085714285714286,0.228375209814274,9.2
227,70,327,barabasi,27,4.0,2.084472049689441,0.2019795633817901,9.342857142857143
228,70,325,barabasi,28,3.0,2.095238095238096,0.2024217077335165,9.285714285714286
229,70,324,barabasi,24,3.0,2.111801242236025,0.2121980357861941,9.257142857142858
230,70,324,barabasi,26,3.0,2.084057971014493,0.1935199240940928,9.257142857142858
231,70,320,barabasi,22,3.0,2.110144927536232,0.1988386970540885,9.142857142857142
232,70,323,barabasi,24,3.0,2.094824016563147,0.2286378467417542,9.228571428571428
233,70,323,barabasi,34,3.0,2.061697722567288,0.2562145532490566,9.228571428571428
234,70,320,barabasi,32,3.0,2.0824016563147,0.2192244639501062,9.142857142857142
235,70,325,barabasi,31,3.0,2.0592132505175984,0.2490658481905432,9.285714285714286
236,70,318,barabasi,29,3.0,2.109316770186336,0.2062168702696337,9.085714285714284
237,70,323,barabasi,21,3.0,2.102277432712216,0.1996887857093517,9.228571428571428
238,70,326,barabasi,29,3.0,2.101449275362319,0.2260938179802117,9.314285714285717
239,70,322,barabasi,27,3.0,2.096066252587992,0.2390288709275883,9.2
240,70,319,barabasi,24,3.0,2.099378881987578,0.220341771888221,9.114285714285714
241,70,326,barabasi,30,3.0,2.0848861283643894,0.221139106595925,9.314285714285717
242,70,318,barabasi,30,4.0,2.095238095238096,0.2295332034161359,9.085714285714284
243,70,327,barabasi,27,3.0,2.0898550724637683,0.2213318479571964,9.342857142857143
244,70,321,barabasi,24,3.0,2.1060041407867494,0.2070552161485376,9.17142857142857
245,70,324,barabasi,31,3.0,2.0848861283643894,0.2047637155560767,9.257142857142858
246,70,322,barabasi,31,4.0,2.097722567287785,0.2318379105010977,9.2
247,70,317,barabasi,28,inf,0.0,0.2097121622538232,9.057142857142855
248,70,319,barabasi,28,4.0,2.094409937888199,0.2102190493422248,9.114285714285714
249,70,317,barabasi,33,3.0,2.094409937888199,0.2035154297763762,9.057142857142855
250,70,323,barabasi,29,3.0,2.063768115942029,0.2360269893957356,9.228571428571428
251,70,321,barabasi,28,4.0,2.0799171842650104,0.2400375595520107,9.17142857142857
252,70,321,barabasi,33,3.0,2.0973084886128364,0.2098545284878766,9.17142857142857
253,70,324,barabasi,33,3.0,2.087784679089027,0.1974895793370928,9.257142857142858
254,70,320,barabasi,29,3.0,2.095238095238096,0.2307586013595637,9.142857142857142
255,70,321,barabasi,27,3.0,2.1130434782608694,0.1897731570563715,9.17142857142857
256,70,326,barabasi,27,3.0,2.0712215320910974,0.2364078631564643,9.314285714285717
257,70,329,barabasi,29,3.0,2.081159420289855,0.2423650410361355,9.4
258,70,328,barabasi,32,3.0,2.0786749482401654,0.2532072728589222,9.371428571428572
259,70,321,barabasi,30,3.0,2.085714285714286,0.233735815361431,9.17142857142857
260,70,325,barabasi,28,3.0,2.1043478260869564,0.1974274705410408,9.285714285714286
261,70,322,barabasi,27,3.0,2.0898550724637683,0.2342222732458873,9.2
262,70,325,barabasi,36,3.0,2.0525879917184264,0.2186151309008451,9.285714285714286
263,70,320,barabasi,29,3.0,2.0869565217391304,0.2196595272463136,9.142857142857142
264,70,320,barabasi,31,3.0,2.087370600414079,0.2447799617647315,9.142857142857142
265,70,325,barabasi,29,4.0,2.089026915113872,0.2217363608658046,9.285714285714286
266,70,318,barabasi,32,inf,0.0,0.2616029748450381,9.085714285714284
267,70,319,barabasi,26,4.0,2.104761904761905,0.2208131415853854,9.114285714285714
268,70,320,barabasi,26,3.0,2.088612836438924,0.2031401410937495,9.142857142857142
269,70,319,barabasi,24,4.0,2.1109730848861283,0.1931593823300071,9.114285714285714
270,70,322,barabasi,31,3.0,2.0679089026915114,0.2516184388332165,9.2
271,70,321,barabasi,27,3.0,2.077432712215321,0.2419028947447788,9.17142857142857
272,70,325,barabasi,26,4.0,2.094409937888199,0.2020606713547889,9.285714285714286
273,70,323,barabasi,29,3.0,2.1006211180124224,0.2221845199200977,9.228571428571428
274,70,322,barabasi,30,4.0,2.097722567287785,0.2143556280804927,9.2
275,70,319,barabasi,24,4.0,2.130848861283644,0.1938148092444959,9.114285714285714
276,70,328,barabasi,32,3.0,2.056728778467909,0.2551063393488127,9.371428571428572
277,70,320,barabasi,28,3.0,2.0906832298136644,0.2393519720370479,9.142857142857142
278,70,320,barabasi,30,3.0,2.065424430641822,0.2518908013867714,9.142857142857142
279,70,319,barabasi,28,3.0,2.111801242236025,0.2228042553953655,9.114285714285714
280,70,317,barabasi,26,4.0,2.113457556935818,0.1698030124330433,9.057142857142855
281,70,321,barabasi,26,3.0,2.0853002070393374,0.216350535572494,9.17142857142857
